timestamp_s,flexion,abduction,ext_rot,elbow
1935025.3771,0.00,6.31,15.13,1.99
1935025.4496,0.00,6.32,15.13,1.99
1935025.4997,0.00,6.32,15.13,1.99
1935025.5500,0.00,6.32,15.13,1.99
1935025.5998,0.00,6.32,15.13,1.99
1935025.6500,0.00,6.32,15.13,1.99
1935025.7001,0.00,6.32,15.13,1.99
1935025.7502,0.00,6.32,15.13,1.99
1935025.7998,0.00,6.32,15.14,1.99
1935025.8501,0.00,6.32,15.15,1.99
1935025.8995,0.00,6.32,15.16,1.99
1935025.9503,0.00,6.32,15.18,1.99
1935025.9994,0.00,6.32,15.18,1.99
1935026.0506,0.00,6.32,15.18,1.99
1935026.1010,0.00,6.32,15.18,1.99
1935026.1494,0.00,6.31,15.18,2.00
1935026.2005,0.00,6.31,15.18,2.00
1935026.2497,0.00,6.31,15.18,2.01
1935026.3002,0.00,6.31,15.18,2.01
1935026.3493,0.00,6.31,15.18,2.02
1935026.3995,0.00,6.31,15.17,2.02
1935026.4505,0.00,6.31,15.17,2.03
1935026.4997,0.00,6.31,15.17,2.03
1935026.5494,0.00,6.32,15.17,2.04
1935026.5998,0.00,6.32,15.17,2.04
1935026.6496,0.00,6.32,15.17,2.05
1935026.6989,0.00,6.33,15.16,2.05
1935026.7496,0.00,6.33,15.16,2.05
1935026.7849,0.00,6.33,15.16,2.06
1935026.8332,0.00,6.34,15.16,2.06
1935026.8826,0.00,6.34,15.16,2.06
1935026.9325,0.00,6.34,15.16,2.06
1935026.9827,0.00,6.34,15.16,2.06
1935027.0326,0.00,6.34,15.15,2.06
1935027.0821,0.00,6.35,15.15,2.06
1935027.1324,0.00,6.35,15.15,2.06
1935027.1823,0.00,6.35,15.15,2.06
1935027.2329,0.00,6.35,15.15,2.06
1935027.2837,0.00,6.35,15.15,2.06
1935027.3330,0.00,6.35,15.15,2.05
1935027.3836,0.00,6.35,15.15,2.05
1935027.4324,0.00,6.35,15.15,2.05
1935027.4838,0.00,6.35,15.14,2.05
1935027.5342,0.00,6.35,15.14,2.05
1935027.5836,0.00,6.35,15.14,2.05
1935027.6324,0.00,6.35,15.14,2.05
1935027.6837,0.00,6.34,15.14,2.04
1935027.7338,0.00,6.34,15.13,2.04
1935027.7837,0.00,6.34,15.13,2.04
1935027.8329,0.00,6.34,15.13,2.04
1935027.8834,0.00,6.34,15.13,2.04
1935027.9327,0.00,6.34,15.12,2.04
1935027.9827,0.00,6.34,15.12,2.04
1935028.0336,0.00,6.34,15.12,2.03
1935028.0834,0.00,6.34,15.12,2.03
1935028.1329,0.00,6.34,15.12,2.03
1935028.1831,0.00,6.34,15.12,2.03
1935028.2329,0.00,6.34,15.12,2.03
1935028.2822,0.00,6.34,15.12,2.03
1935028.3326,0.00,6.34,15.12,2.03
