timestamp_s,flexion,abduction,ext_rot,elbow
1929062.7236,0.00,0.03,-0.05,0.05
1929062.7547,0.00,0.03,-0.05,0.05
1929062.7813,0.00,0.03,-0.05,0.05
1929062.8093,0.00,0.03,-0.05,0.05
1929062.8402,0.00,0.03,-0.05,0.05
1929062.8722,0.00,0.02,-0.05,0.05
1929062.9022,0.00,0.02,-0.04,0.05
1929062.9338,0.00,0.02,-0.04,0.05
1929062.9685,0.00,0.02,-0.05,0.05
1929062.9963,0.00,0.02,-0.05,0.06
1929063.0310,0.00,0.02,-0.05,0.06
1929063.0589,0.00,0.02,-0.05,0.06
1929063.0935,0.00,0.02,-0.05,0.06
1929063.1213,0.00,0.02,-0.05,0.06
1929063.1559,0.00,0.02,-0.05,0.06
1929063.1837,0.00,0.03,-0.05,0.06
1929063.2184,0.00,0.03,-0.05,0.06
1929063.2470,0.00,0.03,-0.05,0.05
1929063.2814,0.00,0.03,-0.05,0.05
1929063.3101,0.00,0.03,-0.05,0.05
1929063.3441,0.00,0.02,-0.05,0.05
1929063.3721,0.00,0.02,-0.05,0.05
1929063.4142,0.00,0.02,-0.04,0.05
1929063.4352,0.00,0.01,-0.04,0.05
1929063.4691,0.00,0.01,-0.04,0.05
1929063.4964,0.00,0.01,-0.04,0.05
1929063.5310,0.00,0.01,-0.04,0.05
1929063.5591,0.00,0.01,-0.03,0.05
1929063.5940,0.00,0.01,-0.03,0.05
1929063.6217,0.00,0.01,-0.03,0.05
1929063.6563,0.00,0.02,-0.02,0.05
1929063.6837,0.00,0.02,-0.02,0.05
1929063.7190,0.00,0.03,-0.02,0.05
1929063.7467,0.00,0.03,-0.02,0.05
1929063.7812,0.00,0.03,-0.02,0.05
1929063.8092,0.00,0.03,-0.02,0.05
1929063.8438,0.00,0.04,-0.02,0.05
1929063.8715,0.00,0.04,-0.02,0.05
1929063.9063,0.00,0.04,-0.02,0.05
1929063.9340,0.00,0.04,-0.02,0.05
1929063.9688,0.00,0.04,-0.02,0.05
1929063.9971,0.00,0.04,-0.02,0.05
1929064.0314,0.00,0.04,-0.02,0.05
1929064.0627,0.00,0.04,-0.02,0.05
1929064.0944,0.00,0.04,-0.02,0.05
1929064.1219,0.00,0.04,-0.02,0.05
1929064.1570,0.00,0.04,-0.02,0.05
1929064.1849,0.00,0.04,-0.02,0.05
1929064.2193,0.00,0.04,-0.02,0.05
1929064.2464,0.00,0.04,-0.02,0.04
1929064.2810,0.00,0.04,-0.02,0.04
1929064.3088,0.00,0.04,-0.02,0.04
1929064.3437,0.00,0.04,-0.02,0.05
1929064.3713,0.00,0.05,-0.02,0.05
1929064.4070,0.00,0.05,-0.03,0.05
1929064.4345,0.00,0.05,-0.02,0.05
1929064.4691,0.00,0.05,-0.03,0.05
1929064.4974,0.00,0.05,-0.03,0.05
1929064.5385,0.00,0.05,-0.03,0.05
1929064.5595,0.00,0.05,-0.03,0.05
1929064.5944,0.00,0.05,-0.03,0.05
1929064.6221,0.00,0.05,-0.03,0.05
1929064.6567,0.00,0.05,-0.03,0.05
1929064.6852,0.00,0.05,-0.03,0.05
1929064.7192,0.00,0.05,-0.03,0.05
1929064.7465,0.00,0.05,-0.03,0.05
1929064.7819,0.00,0.05,-0.03,0.05
1929064.8087,0.00,0.05,-0.03,0.05
1929064.8447,0.00,0.05,-0.03,0.05
1929064.8723,0.00,0.05,-0.04,0.05
1929064.9070,0.00,0.05,-0.04,0.05
1929064.9338,0.00,0.05,-0.04,0.05
1929064.9694,0.00,0.05,-0.04,0.05
1929064.9972,0.00,0.05,-0.04,0.05
1929065.0318,0.00,0.06,-0.04,0.05
1929065.0597,0.00,0.07,-0.05,0.05
1929065.0941,0.00,0.07,-0.05,0.05
1929065.1222,0.00,0.08,-0.05,0.05
1929065.1568,0.00,0.10,-0.05,0.05
1929065.1847,0.00,0.31,-0.02,0.17
1929065.2185,0.00,0.63,0.01,0.33
1929065.2472,0.00,0.90,0.04,0.47
1929065.2817,0.00,1.14,0.06,0.58
1929065.3096,0.00,2.37,0.05,1.10
1929065.3447,0.00,3.49,0.03,1.50
1929065.3713,0.00,4.45,0.02,1.80
1929065.4067,0.00,5.27,0.01,0.94
1929065.4338,0.00,7.62,0.95,1.64
1929065.4692,0.00,9.75,1.76,2.35
1929065.4972,0.00,11.61,2.44,2.90
1929065.5314,0.00,15.12,4.38,4.04
1929065.5590,0.00,18.30,5.97,4.95
1929065.5947,0.00,21.08,7.33,5.62
1929065.6222,0.00,23.50,8.50,6.09
1929065.6559,27.64,0.00,10.86,7.16
1929065.6849,31.35,0.00,12.89,7.94
1929065.7187,34.59,0.00,14.66,8.46
1929065.7473,37.30,0.00,15.99,8.77
1929065.7822,41.85,0.00,17.46,9.72
1929065.8098,45.84,0.00,18.76,10.35
1929065.8435,49.30,0.00,19.91,10.73
1929065.8722,52.25,0.00,20.66,10.89
1929065.9066,57.01,0.00,21.15,11.73
1929065.9347,61.14,0.00,21.61,12.25
1929065.9693,64.70,0.00,22.03,12.52
1929065.9973,67.82,0.00,22.27,12.59
1929066.0320,72.03,0.00,21.71,13.20
1929066.0587,75.70,0.00,21.23,13.56
1929066.0940,78.86,0.00,20.81,13.70
1929066.1218,81.52,0.00,20.03,12.47
1929066.1568,83.81,0.00,19.36,11.21
1929066.1845,85.76,0.00,18.79,9.96
1929066.2202,88.33,0.00,16.08,10.35
1929066.2475,90.51,0.00,13.72,9.28
1929066.2816,92.38,0.00,11.65,8.21
1929066.3089,94.45,0.00,9.54,7.72
1929066.3436,96.23,0.00,7.68,7.20
1929066.3715,97.74,0.00,6.06,6.73
1929066.4060,99.02,0.00,4.65,6.95
1929066.4339,99.95,0.00,3.38,7.52
1929066.4699,100.77,0.00,2.29,8.45
1929066.4972,101.47,0.00,1.35,10.47
1929066.5318,102.07,0.00,0.54,12.54
1929066.5587,102.59,0.00,-0.20,14.51
1929066.5944,102.97,0.00,-0.82,16.37
1929066.6223,103.30,0.00,-1.35,18.10
1929066.6562,103.58,0.00,-1.80,19.70
1929066.6848,103.81,0.00,-2.17,21.60
1929066.7193,104.00,0.00,-2.51,23.34
1929066.7473,104.16,0.00,-2.80,24.92
1929066.7817,104.30,0.00,-3.05,26.37
1929066.8095,104.34,0.00,-3.28,27.85
1929066.8442,104.38,0.00,-3.47,29.19
1929066.8720,104.41,0.00,-3.63,30.41
1929066.9060,104.46,0.00,-3.76,31.55
1929066.9353,104.50,0.00,-3.87,32.59
1929066.9694,104.53,0.00,-3.97,33.53
1929066.9964,104.55,0.00,-4.06,34.38
1929067.0320,104.57,0.00,-4.13,35.15
1929067.0590,104.59,0.00,-4.20,35.84
1929067.0945,104.60,0.00,-4.26,36.48
1929067.1219,104.63,0.00,-4.31,37.05
1929067.1567,104.65,0.00,-4.33,37.58
1929067.1846,104.66,0.00,-4.35,38.06
1929067.2193,104.68,0.00,-4.37,38.49
1929067.2472,104.69,0.00,-4.38,38.88
1929067.2814,104.71,0.00,-4.39,39.22
1929067.3101,104.72,0.00,-4.40,39.53
1929067.3444,104.73,0.00,-4.41,39.82
1929067.3712,104.74,0.00,-4.41,40.08
1929067.4068,104.74,0.00,-4.41,40.32
1929067.4343,104.75,0.00,-4.41,40.53
1929067.4693,104.76,0.00,-4.41,40.72
1929067.4972,104.77,0.00,-4.41,40.89
1929067.5317,104.78,0.00,-4.41,41.05
1929067.5598,104.79,0.00,-4.41,41.19
1929067.5942,104.79,0.00,-4.40,41.32
1929067.6214,104.81,0.00,-4.39,41.43
1929067.6570,104.82,0.00,-4.38,41.54
1929067.6838,104.83,0.00,-4.38,41.64
1929067.7190,104.83,0.00,-4.37,41.73
1929067.7464,104.84,0.00,-4.36,41.83
1929067.7809,104.84,0.00,-4.35,41.91
1929067.8099,104.84,0.00,-4.35,41.98
1929067.8445,104.85,0.00,-4.35,42.05
1929067.8715,104.85,0.00,-4.36,42.11
1929067.9069,104.86,0.00,-4.36,42.17
1929067.9340,104.86,0.00,-4.36,42.22
1929067.9694,104.87,0.00,-4.36,42.27
1929067.9973,104.86,0.00,-4.35,42.32
1929068.0318,104.86,0.00,-4.35,42.36
1929068.0595,104.85,0.00,-4.35,42.39
1929068.0944,104.85,0.00,-4.35,42.42
1929068.1212,104.85,0.00,-4.35,42.46
1929068.1565,104.85,0.00,-4.35,42.49
1929068.1847,104.85,0.00,-4.35,42.52
1929068.2194,104.86,0.00,-4.35,42.55
1929068.2464,104.86,0.00,-4.35,42.58
1929068.2810,104.86,0.00,-4.35,42.60
1929068.3097,104.86,0.00,-4.34,42.63
1929068.3435,104.86,0.00,-4.34,42.65
1929068.3721,104.86,0.00,-4.34,42.67
1929068.4059,104.85,0.00,-4.34,42.68
1929068.4477,104.85,0.00,-4.34,42.70
1929068.4686,104.85,0.00,-4.35,42.71
1929068.4963,104.85,0.00,-4.35,42.73
1929068.5309,104.85,0.00,-4.35,42.74
1929068.5594,104.85,0.00,-4.36,42.75
1929068.5935,104.85,0.00,-4.36,42.76
1929068.6213,104.85,0.00,-4.36,42.78
1929068.6569,104.84,0.00,-4.37,42.79
1929068.6846,104.84,0.00,-4.36,42.80
1929068.7190,104.84,0.00,-4.37,42.81
1929068.7464,104.84,0.00,-4.37,42.82
1929068.7820,104.84,0.00,-4.37,42.83
1929068.8097,104.84,0.00,-4.37,42.84
1929068.8444,104.84,0.00,-4.37,42.85
1929068.8718,104.84,0.00,-4.37,42.85
1929068.9061,104.85,0.00,-4.37,42.86
1929068.9337,104.85,0.00,-4.36,42.87
1929068.9690,104.85,0.00,-4.36,42.87
1929068.9972,104.86,0.00,-4.35,42.88
1929069.0320,104.86,0.00,-4.34,42.89
1929069.0586,104.86,0.00,-4.34,42.89
1929069.0942,104.86,0.00,-4.33,42.90
1929069.1221,104.86,0.00,-4.32,42.90
1929069.1565,104.86,0.00,-4.32,42.90
1929069.1838,104.86,0.00,-4.31,42.90
1929069.2185,104.86,0.00,-4.31,42.90
1929069.2463,104.87,0.00,-4.30,42.90
1929069.2819,104.86,0.00,-4.30,42.90
1929069.3087,104.86,0.00,-4.29,42.91
1929069.3443,104.85,0.00,-4.29,42.91
1929069.3713,104.85,0.00,-4.29,42.91
1929069.4073,104.85,0.00,-4.28,42.91
1929069.4349,104.85,0.00,-4.28,42.91
1929069.4696,104.85,0.00,-4.28,42.91
1929069.4964,104.85,0.00,-4.28,42.91
1929069.5316,104.85,0.00,-4.28,42.90
1929069.5598,104.84,0.00,-4.28,42.91
1929069.5941,104.84,0.00,-4.28,42.91
1929069.6212,104.84,0.00,-4.28,42.91
1929069.6570,104.83,0.00,-4.28,42.91
1929069.6851,104.83,0.00,-4.28,42.91
1929069.7195,104.83,0.00,-4.28,42.91
1929069.7462,104.83,0.00,-4.29,42.91
1929069.7817,104.83,0.00,-4.29,42.91
1929069.8087,104.83,0.00,-4.30,42.92
1929069.8445,104.83,0.00,-4.30,42.93
1929069.8711,104.83,0.00,-4.30,42.93
1929069.9059,104.83,0.00,-4.30,42.94
1929069.9338,104.83,0.00,-4.29,42.95
1929069.9690,104.83,0.00,-4.28,42.96
1929069.9966,104.83,0.00,-4.28,42.97
1929070.0310,104.82,0.00,-4.27,42.97
1929070.0601,104.82,0.00,-4.27,42.98
1929070.0943,104.82,0.00,-4.26,42.98
1929070.1212,104.82,0.00,-4.26,42.99
1929070.1570,104.82,0.00,-4.26,42.99
1929070.1839,104.82,0.00,-4.26,43.00
1929070.2197,104.82,0.00,-4.25,43.00
1929070.2463,104.82,0.00,-4.25,43.01
1929070.2819,104.82,0.00,-4.25,43.01
1929070.3090,104.82,0.00,-4.25,43.01
1929070.3444,104.82,0.00,-4.26,43.02
1929070.3712,104.82,0.00,-4.26,43.03
1929070.4067,104.82,0.00,-4.26,43.04
1929070.4347,104.82,0.00,-4.26,43.05
1929070.4694,104.81,0.00,-4.26,43.07
1929070.4972,104.81,0.00,-4.27,43.08
1929070.5309,104.81,0.00,-4.26,43.10
1929070.5587,104.82,0.00,-4.26,43.11
1929070.5934,104.82,0.00,-4.26,43.13
1929070.6212,104.82,0.00,-4.26,43.14
1929070.6558,104.82,0.00,-4.27,43.16
1929070.6839,104.81,0.00,-4.27,43.17
1929070.7193,104.81,0.00,-4.27,43.18
1929070.7464,104.81,0.00,-4.27,43.19
1929070.7818,104.81,0.00,-4.27,43.20
1929070.8089,104.81,0.00,-4.27,43.21
1929070.8434,104.81,0.00,-4.27,43.22
1929070.8712,104.81,0.00,-4.27,43.22
1929070.9069,104.81,0.00,-4.27,43.23
1929070.9338,104.81,0.00,-4.28,43.24
1929070.9696,104.82,0.00,-4.28,43.25
1929070.9964,104.82,0.00,-4.28,43.26
1929071.0321,104.82,0.00,-4.29,43.27
1929071.0589,104.82,0.00,-4.29,43.28
1929071.0948,104.82,0.00,-4.30,43.30
1929071.1216,104.83,0.00,-4.30,43.31
1929071.1561,104.83,0.00,-4.30,43.32
1929071.1847,104.84,0.00,-4.31,43.33
1929071.2194,104.84,0.00,-4.31,43.34
1929071.2471,104.84,0.00,-4.31,43.35
1929071.2816,104.84,0.00,-4.31,43.35
1929071.3095,104.84,0.00,-4.31,43.36
1929071.3444,104.84,0.00,-4.31,43.37
1929071.3711,104.84,0.00,-4.31,43.38
1929071.4063,104.84,0.00,-4.31,43.39
1929071.4340,104.84,0.00,-4.31,43.40
1929071.4694,104.84,0.00,-4.31,43.40
1929071.4961,104.84,0.00,-4.31,43.41
1929071.5309,104.84,0.00,-4.31,43.42
1929071.5588,104.84,0.00,-4.31,43.42
1929071.5934,104.84,0.00,-4.31,43.43
