timestamp_s,flexion,abduction,ext_rot,elbow
1932942.2319,0.00,0.11,0.04,0.09
1932942.3585,0.00,0.11,0.04,0.09
1932942.3887,0.00,0.11,0.04,0.09
1932942.4179,0.00,0.11,0.04,0.09
1932942.4493,0.00,0.11,0.04,0.09
1932942.4808,0.00,0.12,0.04,0.09
1932942.5123,0.00,0.12,0.04,0.09
1932942.5447,0.00,0.12,0.04,0.09
1932942.5773,0.00,0.12,0.05,0.09
1932942.6102,0.00,0.12,0.06,0.09
1932942.6504,0.00,0.12,0.06,0.09
1932942.6823,0.00,0.12,0.06,0.09
1932942.7015,0.00,0.12,0.06,0.09
1932942.7367,0.00,0.11,0.06,0.09
1932942.7696,0.00,0.11,0.06,0.08
1932942.8012,0.00,0.11,0.06,0.08
1932942.8331,0.00,0.11,0.06,0.08
1932942.8558,0.00,0.11,0.05,0.08
1932942.8916,0.00,0.11,0.05,0.07
1932942.9280,0.00,0.10,0.05,0.07
1932942.9556,0.00,0.10,0.04,0.07
1932942.9836,0.00,0.10,0.04,0.06
1932943.0182,0.00,0.10,0.04,0.06
1932943.0511,0.00,0.09,0.03,0.06
1932943.0830,0.00,0.09,0.03,0.05
1932943.1151,0.00,0.09,0.03,0.05
1932943.1464,0.00,0.09,0.03,0.05
1932943.1783,0.00,0.09,0.03,0.04
1932943.2032,0.00,0.09,0.03,0.04
1932943.2348,0.00,0.08,0.03,0.04
1932943.2665,0.00,0.08,0.02,0.03
1932943.2982,0.00,0.08,0.02,0.03
1932943.3298,0.00,0.07,0.02,0.03
1932943.3616,0.00,0.07,0.02,0.03
1932943.4018,0.00,0.07,0.02,0.03
1932943.4330,0.00,0.07,0.02,0.03
1932943.4653,0.00,0.07,0.03,0.03
1932943.4970,0.00,0.07,0.03,0.03
1932943.5292,0.00,0.07,0.03,0.03
1932943.5692,0.00,0.07,0.03,0.03
1932943.5943,0.00,0.07,0.03,0.03
1932943.6271,0.00,0.07,0.03,0.04
1932943.6667,0.00,0.07,0.03,0.04
1932943.6981,0.00,0.07,0.03,0.04
1932943.7298,0.00,0.07,0.03,0.04
1932943.7464,0.00,0.08,0.03,0.04
1932943.7790,0.00,0.08,0.03,0.04
1932943.8110,0.00,0.08,0.03,0.05
1932943.8421,0.00,0.09,0.03,0.05
1932943.8739,0.00,0.09,0.03,0.05
1932943.9052,0.00,0.09,0.03,0.05
