timestamp_s,flexion,abduction,ext_rot,elbow
1928035.2817,83.79,16.31,47.79,10.30
1928035.3179,83.79,16.31,47.79,10.30
1928035.3649,83.79,16.31,47.79,10.30
1928035.4139,83.79,16.31,47.79,10.30
1928035.4639,83.79,16.31,47.79,10.30
1928035.5136,83.79,16.31,47.79,10.30
1928035.5630,83.79,16.32,47.79,10.30
1928035.6142,83.79,16.32,47.79,10.31
1928035.6638,83.79,16.32,47.79,10.30
1928035.7131,83.79,16.32,47.79,10.30
1928035.7632,83.79,16.33,47.79,10.31
1928035.8130,83.79,16.33,47.79,10.31
1928035.8643,83.79,16.33,47.79,10.31
1928035.9183,83.79,16.34,47.79,10.31
1928035.9633,83.79,16.34,47.79,10.32
1928036.0134,83.79,16.34,47.79,10.32
1928036.0633,83.79,16.34,47.78,10.32
1928036.1126,83.79,16.34,47.78,10.32
1928036.1635,83.79,16.34,47.78,10.33
1928036.2134,83.79,16.33,47.78,10.33
1928036.2620,83.79,16.33,47.78,10.33
1928036.3127,83.79,16.33,47.78,10.33
1928036.3632,83.79,16.33,47.77,10.34
1928036.4129,83.79,16.33,47.78,10.34
1928036.4800,83.79,16.33,47.78,10.34
1928036.5295,83.79,16.33,47.78,10.34
1928036.5913,83.79,16.33,47.78,10.34
1928036.6584,83.79,16.33,47.78,10.34
1928036.7132,83.79,16.33,47.78,10.34
1928036.7632,83.79,16.34,47.78,10.34
1928036.8134,83.79,16.34,47.78,10.34
1928036.8628,83.79,16.34,47.78,10.34
1928036.9129,83.79,16.34,47.78,10.34
1928036.9625,83.79,16.34,47.78,10.34
1928037.0131,83.79,16.33,47.78,10.34
1928037.0634,83.79,16.33,47.78,10.34
1928037.1129,83.79,16.33,47.78,10.34
1928037.1630,83.79,16.33,47.78,10.33
1928037.2130,83.79,16.33,47.78,10.33
1928037.2628,83.79,16.33,47.78,10.33
1928037.3131,83.79,16.33,47.78,10.33
1928037.3627,83.79,16.33,47.79,10.33
1928037.4138,83.79,16.30,47.78,10.32
1928037.4630,83.79,16.32,47.78,10.34
1928037.5122,83.79,16.33,47.78,10.22
1928037.5631,83.79,17.12,48.20,10.57
1928037.6125,83.79,17.80,48.56,10.89
1928037.6627,83.79,18.44,48.86,11.30
1928037.7130,83.79,18.98,49.12,11.67
1928037.7635,83.79,20.37,49.70,12.18
1928037.8125,83.79,21.56,50.09,12.65
1928037.8632,83.79,23.71,52.08,11.33
1928037.9126,83.79,25.80,53.69,11.76
1928037.9631,83.79,28.77,55.85,9.58
1928038.0130,83.79,31.88,57.73,8.23
1928038.0633,83.79,34.84,59.35,8.81
1928038.1126,83.79,38.83,60.34,8.11
1928038.1632,83.79,42.53,61.22,7.92
1928038.2128,83.79,46.97,61.09,8.61
1928038.2628,83.79,50.91,60.85,9.32
1928038.3134,83.79,54.39,60.65,11.09
1928038.3613,83.79,58.51,59.19,12.45
1928038.4116,83.79,62.07,57.91,13.67
1928038.4635,64.89,62.07,57.01,13.82
1928038.5128,67.36,62.07,56.05,15.95
1928038.5631,69.61,62.07,54.62,16.24
1928038.6128,71.61,62.07,53.28,18.75
1928038.6631,73.39,62.07,52.13,21.15
1928038.7121,75.18,62.07,50.08,22.80
1928038.7636,76.78,62.07,48.27,24.45
1928038.8124,78.61,62.07,45.08,24.74
1928038.8619,80.09,62.07,42.28,26.12
1928038.9124,81.38,62.07,39.87,27.51
1928038.9626,82.85,62.07,36.73,27.90
1928039.0126,83.96,62.07,33.98,29.21
1928039.0619,85.11,62.07,31.12,30.13
1928039.1112,86.05,62.07,28.66,31.09
1928039.1628,86.84,62.07,26.14,32.35
1928039.2117,87.58,62.07,24.00,33.58
