timestamp_s,flexion,abduction,ext_rot,elbow
1934217.9289,2.75,0.00,-0.89,1.12
1934217.9592,2.75,0.00,-0.89,1.12
1934217.9840,2.75,0.00,-0.89,1.12
1934218.0210,2.75,0.00,-0.89,1.12
1934218.0536,2.75,0.00,-0.89,1.12
1934218.0865,2.75,0.00,-0.89,1.12
1934218.1060,2.76,0.00,-0.89,1.12
1934218.1529,2.76,0.00,-0.89,1.12
1934218.1841,2.76,0.00,-0.89,1.12
1934218.2164,2.76,0.00,-0.89,1.13
1934218.2488,2.76,0.00,-0.89,1.13
1934218.2832,2.76,0.00,-0.89,1.13
1934218.3140,2.76,0.00,-0.89,1.13
1934218.3462,2.76,0.00,-0.89,1.12
1934218.3786,2.76,0.00,-0.89,1.12
1934218.4107,2.76,0.00,-0.88,1.11
1934218.4432,2.76,0.00,-0.88,1.11
1934218.4752,2.76,0.00,-0.87,1.10
1934218.5053,2.76,0.00,-0.87,1.10
1934218.5372,2.76,0.00,-0.87,1.10
1934218.5610,2.76,0.00,-0.87,1.10
1934218.5995,2.76,0.00,-0.87,1.10
1934218.6366,2.76,0.00,-0.87,1.11
1934218.6718,2.75,0.00,-0.87,1.10
1934218.7038,2.75,0.00,-0.86,1.11
1934218.7360,2.75,0.00,-0.86,1.11
1934218.7685,2.75,0.00,-0.86,1.11
1934218.8010,2.74,0.00,-0.86,1.11
1934218.8331,2.74,0.00,-0.86,1.11
1934218.8653,2.74,0.00,-0.86,1.11
1934218.8953,2.74,0.00,-0.86,1.11
1934218.9180,2.74,0.00,-0.86,1.11
1934218.9560,2.74,0.00,-0.86,1.12
1934218.9872,2.74,0.00,-0.85,1.12
1934219.0191,2.74,0.00,-0.85,1.12
1934219.0508,2.74,0.00,-0.85,1.12
1934219.0824,2.74,0.00,-0.84,1.12
1934219.1093,2.75,0.00,-0.84,1.12
1934219.1387,2.75,0.00,-0.84,1.12
1934219.1708,2.75,0.00,-0.84,1.13
1934219.2021,2.76,0.00,-0.84,1.13
1934219.2344,2.76,0.00,-0.84,1.13
1934219.2659,2.76,0.00,-0.84,1.14
1934219.3062,2.77,0.00,-0.84,1.14
1934219.3312,2.77,0.00,-0.84,1.14
1934219.3639,2.77,0.00,-0.84,1.14
1934219.3959,2.78,0.00,-0.85,1.15
1934219.4282,2.79,0.00,-0.85,1.16
1934219.4614,2.79,0.00,-0.85,1.16
1934219.4920,2.80,0.00,-0.85,1.16
1934219.5245,2.81,0.00,-0.85,1.16
1934219.5566,2.81,0.00,-0.85,1.17
1934219.5884,2.81,0.00,-0.85,1.17
1934219.6204,2.82,0.00,-0.85,1.17
1934219.6362,2.82,0.00,-0.85,1.17
1934219.6684,2.82,0.00,-0.85,1.17
1934219.7009,2.83,0.00,-0.85,1.17
1934219.7329,2.83,0.00,-0.85,1.18
1934219.7649,2.84,0.00,-0.85,1.18
1934219.7972,2.84,0.00,-0.85,1.18
1934219.8295,2.84,0.00,-0.85,1.18
1934219.8614,2.84,0.00,-0.85,1.18
1934219.8938,2.85,0.00,-0.85,1.16
1934219.9261,2.85,0.00,-0.85,1.15
1934219.9579,2.85,0.00,-0.84,1.14
1934219.9898,2.85,0.00,-0.84,1.12
1934220.0221,2.85,0.00,-0.84,1.12
1934220.0540,2.85,0.00,-0.84,1.12
1934220.0858,2.85,0.00,-0.84,1.11
1934220.1179,2.84,0.00,-0.84,1.11
1934220.1505,2.84,0.00,-0.84,1.12
1934220.1827,2.84,0.00,-0.84,1.12
1934220.1990,2.84,0.00,-0.84,1.12
1934220.2328,2.88,0.00,-0.84,1.12
1934220.2638,2.91,0.00,-0.84,1.06
1934220.2960,2.87,0.00,-0.86,1.11
1934220.3280,2.85,0.00,-0.88,1.15
1934220.3598,2.85,0.00,-0.89,1.77
1934220.3920,0.00,2.41,-0.48,1.12
1934220.4225,0.00,3.26,-0.14,1.25
1934220.4552,0.00,4.43,0.15,1.72
1934220.4865,5.55,0.00,0.40,1.28
1934220.5181,9.58,0.00,1.90,2.64
1934220.5558,13.17,0.00,3.17,4.23
1934220.5806,16.27,0.00,4.27,5.55
1934220.6058,18.92,0.00,5.20,4.80
1934220.6380,23.78,0.00,7.13,6.49
1934220.6698,27.94,0.00,8.79,7.80
1934220.7016,31.38,0.00,10.29,8.79
1934220.7335,34.32,0.00,11.59,8.02
1934220.7661,38.64,0.00,13.89,8.95
1934220.7978,42.32,0.00,15.90,9.58
1934220.8295,45.40,0.00,17.67,9.97
1934220.8613,48.02,0.00,19.21,10.17
1934220.8938,52.21,0.00,21.70,12.02
1934220.9265,55.75,0.00,23.90,12.29
1934220.9554,58.80,0.00,25.85,12.36
1934220.9871,62.97,0.00,28.31,13.77
1934221.0125,66.50,0.00,30.49,14.85
1934221.0501,69.45,0.00,32.42,14.30
1934221.0819,71.95,0.00,34.11,13.67
1934221.1053,75.32,0.00,36.39,14.17
1934221.1370,78.18,0.00,38.41,14.45
1934221.1688,80.60,0.00,40.19,13.65
1934221.2007,82.66,0.00,41.75,12.83
1934221.2323,85.22,0.00,43.79,12.88
1934221.2724,87.39,0.00,45.58,12.79
1934221.3042,89.22,0.00,47.15,12.62
1934221.3358,90.77,0.00,48.52,11.91
1934221.3678,92.41,0.00,49.83,11.58
1934221.4002,93.79,0.00,50.97,11.21
1934221.4325,94.97,0.00,51.96,10.81
1934221.4572,95.96,0.00,52.83,10.28
1934221.4880,96.82,0.00,53.55,9.74
1934221.5195,97.55,0.00,54.17,9.23
1934221.5513,98.18,0.00,54.72,8.74
1934221.5841,98.71,0.00,55.20,8.35
1934221.6149,99.11,0.00,55.54,7.94
1934221.6404,99.46,0.00,55.83,7.56
