timestamp_s,flexion,abduction,ext_rot,elbow
1927831.0433,5.16,0.00,9.55,3.86
1927831.0811,5.16,0.00,9.55,3.86
1927831.1056,5.16,0.00,9.55,3.86
1927831.1447,5.16,0.00,9.55,3.86
1927831.1768,5.16,0.00,9.55,3.86
1927831.2126,5.16,0.00,9.55,3.86
1927831.2438,5.16,0.00,9.55,3.86
1927831.2758,5.16,0.00,9.55,3.86
1927831.3082,5.16,0.00,9.55,3.86
1927831.3405,5.16,0.00,9.55,3.86
1927831.3727,5.16,0.00,9.55,3.86
1927831.4108,5.16,0.00,9.55,3.86
1927831.4425,5.17,0.00,9.55,3.86
1927831.4658,5.17,0.00,9.56,3.86
1927831.4987,5.17,0.00,9.57,3.87
1927831.5389,5.18,0.00,9.57,3.88
1927831.5706,5.19,0.00,9.58,3.88
1927831.5949,5.19,0.00,9.58,3.89
1927831.6266,5.20,0.00,9.58,3.90
1927831.6591,5.20,0.00,9.58,3.90
1927831.6920,5.20,0.00,9.59,3.91
1927831.7288,5.21,0.00,9.59,3.91
1927831.7472,5.21,0.00,9.59,3.92
1927831.7785,5.22,0.00,9.59,3.92
1927831.8127,5.22,0.00,9.59,3.92
1927831.8445,5.22,0.00,9.59,3.93
1927831.8769,5.22,0.00,9.59,3.93
1927831.9088,5.23,0.00,9.59,3.93
1927831.9408,5.23,0.00,9.59,3.93
1927831.9726,5.23,0.00,9.59,3.93
1927831.9964,5.23,0.00,9.59,3.93
1927832.0280,5.23,0.00,9.59,3.93
1927832.0591,5.23,0.00,9.59,3.93
1927832.0910,5.24,0.00,9.58,3.93
1927832.1233,5.24,0.00,9.58,3.93
1927832.1552,5.24,0.00,9.59,3.94
1927832.1955,5.24,0.00,9.59,3.94
1927832.2169,5.24,0.00,9.59,3.94
1927832.2588,5.24,0.00,9.59,3.94
1927832.2806,5.24,0.00,9.59,3.94
1927832.3231,5.24,0.00,9.59,3.94
1927832.3454,5.24,0.00,9.58,3.94
1927832.3783,5.24,0.00,9.58,3.94
1927832.4097,5.24,0.00,9.58,3.94
1927832.4381,5.24,0.00,9.58,3.94
1927832.4779,5.24,0.00,9.58,3.94
1927832.5105,5.24,0.00,9.58,3.94
1927832.5420,5.25,0.00,9.58,3.94
1927832.5588,5.25,0.00,9.58,3.94
1927832.5905,5.25,0.00,9.58,3.94
1927832.6228,5.25,0.00,9.58,3.94
1927832.6549,5.24,0.00,9.58,3.94
1927832.6953,5.24,0.00,9.58,3.94
1927832.7270,5.24,0.00,9.58,3.94
1927832.7597,5.24,0.00,9.58,3.94
1927832.7919,5.24,0.00,9.58,3.94
1927832.8239,5.24,0.00,9.58,3.94
1927832.8558,5.24,0.00,9.58,3.94
1927832.8971,5.24,0.00,9.58,3.94
1927832.9269,5.24,0.00,9.58,3.94
1927832.9588,5.23,0.00,9.59,3.93
1927832.9908,5.23,0.00,9.59,3.93
1927833.0220,5.22,0.00,9.59,3.92
1927833.0541,5.22,0.00,9.59,3.94
1927833.0779,5.23,0.00,9.59,3.97
1927833.1095,5.23,0.00,9.59,3.99
1927833.1414,5.23,0.00,9.59,4.01
1927833.1733,5.23,0.00,9.59,4.02
1927833.2053,5.21,0.00,9.60,4.01
1927833.2297,5.21,0.00,9.60,4.00
1927833.2615,5.20,0.00,9.60,3.99
1927833.2931,5.20,0.00,9.60,3.98
1927833.3253,5.21,0.00,9.79,3.98
1927833.3568,5.22,0.00,9.81,3.97
1927833.3893,5.23,0.00,9.82,3.97
1927833.4285,5.39,0.00,11.31,4.12
1927833.4609,5.53,0.00,12.58,4.25
1927833.4926,5.66,0.00,13.64,4.37
1927833.5243,5.77,0.00,14.54,4.50
1927833.5567,6.22,0.00,17.42,4.94
1927833.5890,6.63,0.00,19.86,5.33
1927833.6126,0.00,6.99,21.94,5.67
1927833.6444,0.00,7.29,23.71,6.11
1927833.6763,0.00,7.78,27.55,6.68
1927833.7081,0.00,8.20,30.81,7.20
1927833.7401,0.00,8.57,33.59,7.65
1927833.7626,0.00,8.89,35.95,8.27
1927833.7944,0.00,9.32,39.92,8.86
1927833.8262,0.00,9.69,43.30,9.39
1927833.8583,0.00,10.01,46.17,9.86
1927833.8902,0.00,10.29,48.61,10.75
1927833.9217,0.00,10.56,53.03,11.25
1927833.9618,0.00,10.82,56.79,11.70
1927833.9937,0.00,11.06,59.98,12.75
1927834.0125,0.00,11.29,62.70,13.68
1927834.0579,0.00,11.21,67.49,14.15
1927834.0764,0.00,11.19,71.55,14.60
1927834.1052,0.00,11.20,75.01,15.14
1927834.1454,0.00,10.71,77.99,15.64
1927834.1775,0.00,10.32,80.52,16.11
1927834.2092,0.00,10.00,82.68,16.54
1927834.2414,0.00,9.74,84.50,17.03
1927834.2736,0.00,9.08,85.78,17.45
1927834.3058,0.00,8.54,86.87,17.85
1927834.3294,0.00,8.09,87.79,18.23
1927834.3613,0.00,7.73,88.58,18.28
1927834.3933,0.00,7.03,89.20,18.58
1927834.4250,0.00,6.45,89.73,18.84
1927834.4568,0.00,5.97,90.17,19.08
1927834.4884,0.00,5.55,90.56,19.25
1927834.5118,0.00,5.27,90.88,19.36
1927834.5437,0.00,5.04,91.15,19.46
1927834.5755,0.00,4.85,91.38,19.55
1927834.6073,0.00,4.74,91.56,19.57
1927834.6394,0.00,4.52,91.74,19.75
1927834.6727,0.00,4.33,91.89,19.90
