slot,device,address,n_total,n_valid_length,n_decode_ok,n_decode_errors,n_norm_in_range,norm_pass_rate,norm_min,norm_mean,norm_max,passed,fail_reason
wrist,IMU_WRIST,C6:4E:28:CF:55:C9,100,100,100,0,100,100.0,0.999981,1.000001,1.000035,True,—
arm,IMU_ARM,,0,0,0,0,0,0.0,,,,False,Device 'IMU_ARM' not found within 20 s
chest,IMU_CHEST,D4:41:CD:B7:71:6B,100,100,100,0,100,100.0,0.999974,0.999995,1.000036,True,—
