slot,device,address,n_total,n_valid_length,n_decode_ok,n_decode_errors,n_norm_in_range,norm_pass_rate,norm_min,norm_mean,norm_max,passed,fail_reason
wrist,IMU_WRIST,C6:4E:28:CF:55:C9,100,100,100,0,100,100.0,0.999962,0.99999,1.000039,True,—
arm,IMU_ARM,F8:1A:DA:E1:B8:23,100,100,100,0,100,100.0,0.999959,0.999996,1.000006,True,—
chest,IMU_CHEST,D4:41:CD:B7:71:6B,100,100,100,0,100,100.0,0.999964,0.999985,1.000035,True,—
