timestamp_s,flexion,abduction,ext_rot,elbow
10350.1996,-9.31,2.89,170.00,6.80
10350.2241,-9.31,2.89,170.00,6.80
10350.2437,-9.30,2.90,170.00,6.80
10350.2842,-9.29,2.91,170.00,6.79
10350.3035,-9.29,2.93,170.00,6.79
10350.3372,-9.28,2.95,170.00,6.78
10350.3709,-9.27,2.97,170.00,6.78
10350.3964,-9.27,2.99,170.00,6.79
10350.4387,-9.27,3.01,170.00,6.79
10350.4699,-9.28,3.03,170.00,6.80
10350.5021,-9.29,3.06,170.00,6.80
10350.5261,-9.31,3.08,170.00,6.81
10350.5665,-9.34,3.11,170.00,6.82
10350.5922,-9.36,3.13,170.00,6.83
10350.6149,-9.39,3.15,170.00,6.84
10350.6460,-9.42,3.17,170.00,6.84
10350.6783,-9.45,3.19,170.00,6.85
10350.7108,-9.47,3.20,170.00,6.86
10350.7399,-9.50,3.21,170.00,6.86
10350.7744,-9.52,3.21,170.00,6.87
10350.8037,-9.54,3.21,170.00,6.87
10350.8356,-9.56,3.21,170.00,6.88
10350.8660,-9.56,3.21,170.00,6.88
10350.8973,-9.57,3.20,170.00,6.88
10350.9360,-9.57,3.19,170.00,6.88
10350.9671,-9.58,3.18,170.00,6.88
10351.0004,-9.58,3.17,170.00,6.88
10351.0324,-9.59,3.16,170.00,6.88
10351.0548,-9.60,3.15,170.00,6.88
10351.0855,-9.61,3.13,170.00,6.88
10351.1191,-9.62,3.12,170.00,6.88
10351.1502,-9.63,3.11,170.00,6.88
10351.1825,-9.63,3.11,170.00,6.88
10351.2142,-9.64,3.11,170.00,6.88
10351.2458,-9.64,3.11,170.00,6.88
10351.2730,-9.63,3.11,170.00,6.88
10351.3056,-9.62,3.11,170.00,6.87
10351.3341,-9.61,3.12,170.00,6.86
10351.3669,-9.58,3.12,170.00,6.86
10351.4006,-9.55,3.13,170.00,6.84
10351.4300,-9.51,3.14,170.00,6.84
10351.4696,-9.47,3.14,170.00,6.83
10351.5009,-9.42,3.15,170.00,6.82
10351.5284,-9.37,3.15,170.00,6.81
10351.5573,-9.33,3.16,170.00,6.80
10351.5918,-9.28,3.16,170.00,6.79
10351.6231,-9.23,3.16,170.00,6.78
10351.6571,-9.19,3.16,170.00,6.77
10351.6934,-9.16,3.15,170.00,6.77
10351.7247,-9.13,3.14,170.00,6.76
10351.7548,-9.10,3.12,170.00,6.76
10351.7887,-9.09,3.10,170.00,6.76
10351.8206,-9.07,3.07,170.00,6.76
10351.8523,-9.06,3.05,170.00,6.76
10351.8843,-9.05,3.02,170.00,6.76
10351.9162,-9.05,2.99,170.00,6.76
10351.9486,-9.04,2.96,170.00,6.76
10351.9804,-9.04,2.93,170.00,6.76
10352.0124,-9.05,2.90,170.00,6.75
10352.0443,-9.05,2.87,170.00,6.76
10352.0761,-9.05,2.85,170.00,6.75
10352.1085,-9.06,2.82,170.00,6.75
10352.1402,-9.07,2.78,170.00,6.76
10352.1721,-9.07,2.75,170.00,6.76
10352.2046,-9.08,2.72,170.00,6.76
10352.2370,-9.09,2.69,170.00,6.76
10352.2683,-9.10,2.66,170.00,6.76
10352.3017,-9.11,2.63,170.00,6.76
10352.3338,-9.12,2.61,170.00,6.76
10352.3673,-9.13,2.58,170.00,6.76
10352.3990,-9.14,2.56,170.00,6.76
10352.4303,-9.16,2.53,170.00,6.76
10352.4630,-9.18,2.50,170.00,6.76
10352.4972,-9.21,2.48,170.00,6.77
10352.5289,-9.24,2.46,170.00,6.77
10352.5603,-9.26,2.45,170.00,6.77
10352.5923,-9.30,2.43,170.00,6.77
10352.6273,-9.33,2.42,170.00,6.78
10352.6605,-9.36,2.42,170.00,6.78
10352.6934,-9.40,2.42,170.00,6.79
10352.7260,-9.44,2.42,170.00,6.79
10352.7585,-9.48,2.43,170.00,6.80
10352.7903,-9.53,2.44,170.00,6.80
10352.8219,-9.57,2.45,170.00,6.81
10352.8556,-9.62,2.48,170.00,6.82
10352.8876,-9.67,2.50,170.00,6.83
10352.9193,-9.71,2.54,170.00,6.84
10352.9509,-9.76,2.57,170.00,6.85
10352.9827,-9.80,2.61,170.00,6.86
10353.0219,-9.84,2.64,170.00,6.87
10353.0564,-9.88,2.68,170.00,6.88
10353.0880,-9.93,2.71,170.00,6.89
10353.1211,-9.96,2.74,170.00,6.90
10353.1530,-10.00,2.77,170.00,6.91
10353.1812,-10.04,2.80,170.00,6.92
10353.2158,-10.07,2.82,170.00,6.93
10353.2478,-10.09,2.84,170.00,6.94
10353.2795,-10.11,2.85,170.00,6.95
10353.3113,-10.13,2.86,170.00,6.96
10353.3452,-10.15,2.87,170.00,6.96
10353.3779,-10.17,2.87,170.00,6.97
10353.4104,-10.18,2.87,170.00,6.97
10353.4271,-10.20,2.87,170.00,6.97
10353.4607,-10.21,2.87,170.00,6.97
10353.4926,-10.23,2.87,170.00,6.97
10353.5234,-10.24,2.87,170.00,6.97
10353.5566,-10.25,2.87,170.00,6.97
10353.5873,-10.25,2.87,170.00,6.97
10353.6186,-10.26,2.87,170.00,6.96
10353.6496,-10.26,2.87,170.00,6.96
