timestamp_s,flexion,abduction,ext_rot,elbow
1088333.3742,-1.21,4.78,9.18,3.27
1088333.5920,-1.17,4.63,9.01,3.25
1088333.6277,-1.10,4.48,8.84,3.21
1088333.6594,-1.01,4.35,8.69,3.20
1088333.7192,-0.93,4.22,8.56,3.21
1088333.7451,-0.87,4.10,8.45,3.23
1088333.7779,-0.83,3.99,8.35,3.27
1088333.8094,-0.79,3.89,8.26,3.31
1088333.8409,-0.77,3.81,8.16,3.35
1088333.8735,-0.79,3.74,8.11,3.40
1088333.9143,-0.82,3.67,8.04,3.45
1088333.9376,-0.88,3.64,8.01,3.50
1088333.9632,-0.94,3.63,7.99,3.54
1088333.9950,-1.00,3.62,7.94,3.59
1088334.0315,-1.07,3.63,7.90,3.63
1088334.0638,-1.14,3.70,7.89,3.68
1088334.0960,-1.21,3.79,7.89,3.71
1088334.1277,-1.27,3.93,7.92,3.73
1088334.1595,-1.31,4.05,7.91,3.72
1088334.1854,-1.33,4.18,7.89,3.72
1088334.2150,-1.34,4.33,7.88,3.70
1088334.2464,-1.36,4.49,7.91,3.71
1088334.2792,-1.36,4.63,7.92,3.70
1088334.3030,-1.34,4.76,7.93,3.71
1088334.3461,-1.30,4.87,7.90,3.72
1088334.3785,-1.29,4.95,7.90,3.75
1088334.4099,-1.29,5.02,7.90,3.79
1088334.4356,-1.31,5.09,7.92,3.82
1088334.4645,-1.35,5.15,7.94,3.86
1088334.4964,-1.39,5.20,7.95,3.90
1088334.5278,-1.45,5.25,7.97,3.95
1088334.5535,-1.50,5.30,8.00,3.99
1088334.5967,-1.54,5.34,8.05,4.01
1088334.6293,-1.58,5.38,8.09,3.99
1088334.6618,-1.61,5.41,8.14,3.96
1088334.6938,-1.66,5.42,8.19,3.94
1088334.7318,-1.72,5.42,8.24,3.92
1088334.7566,-1.79,5.41,8.29,3.91
1088334.7976,-1.86,5.37,8.33,3.90
1088334.8293,-1.91,5.34,8.36,3.89
1088334.8615,-1.94,5.29,8.43,3.88
1088334.8939,-1.95,5.22,8.52,3.89
1088334.9256,-1.98,5.14,8.58,3.89
1088334.9577,-2.02,5.05,8.59,3.90
1088334.9895,-2.07,4.96,8.61,3.92
1088335.0216,-2.11,4.86,8.63,3.93
1088335.0573,-2.17,4.76,8.66,3.95
1088335.0850,-2.24,4.67,8.69,3.97
1088335.1172,-2.33,4.57,8.69,4.01
1088335.1491,-2.43,4.47,8.69,4.06
1088335.1815,-2.53,4.38,8.70,4.12
1088335.2132,-2.63,4.30,8.73,4.18
1088335.2449,-2.73,4.23,8.78,4.20
1088335.2770,-2.84,4.18,8.83,4.22
1088335.3091,-3.00,4.14,8.93,4.28
1088335.3408,-3.13,4.11,9.03,4.34
1088335.3727,-3.23,4.08,9.14,4.40
1088335.4048,-3.32,4.05,9.25,4.42
1088335.4363,-3.38,4.01,9.36,4.42
1088335.4683,-3.44,3.98,9.48,4.43
1088335.4998,-3.49,3.94,9.66,4.48
1088335.5316,-3.52,3.90,9.77,4.54
1088335.5736,-3.47,3.87,9.72,4.55
1088335.5947,-3.39,3.85,9.61,4.55
1088335.6266,-3.29,3.83,9.48,4.55
1088335.6587,-3.06,3.85,9.25,4.43
1088335.6902,-2.67,3.90,8.96,4.18
1088335.7227,-2.25,3.96,8.63,3.93
1088335.7542,-1.65,4.11,8.24,3.54
1088335.7855,-0.88,4.34,7.79,3.08
1088335.8180,-0.12,4.58,7.36,2.68
1088335.8336,0.66,4.86,6.93,2.21
1088335.8657,1.49,5.17,6.50,1.74
1088335.8977,2.51,5.58,6.05,1.18
1088335.9293,3.70,6.07,5.59,0.54
1088335.9615,4.88,6.57,5.15,0.14
1088335.9938,6.24,7.15,4.73,0.73
1088336.0256,7.76,7.85,4.31,1.47
1088336.0573,9.21,8.55,3.90,2.12
1088336.0892,10.79,9.38,3.48,2.84
1088336.1216,12.28,10.19,3.11,3.48
1088336.1533,13.87,11.11,2.81,4.19
1088336.1849,15.36,12.02,2.58,4.83
1088336.2172,16.92,13.10,2.45,5.50
1088336.2487,18.58,14.33,2.34,6.20
1088336.2802,20.18,15.57,2.24,6.85
1088336.3124,21.84,16.99,2.15,7.55
1088336.3445,23.56,18.57,2.11,8.29
1088336.3765,25.18,20.15,2.10,8.97
1088336.4081,26.89,21.90,2.12,9.69
1088336.4400,28.52,23.64,2.20,10.35
1088336.4713,30.19,25.56,2.34,10.98
1088336.5038,31.76,27.41,2.52,11.53
1088336.5353,33.41,29.44,2.75,12.12
1088336.5677,35.14,31.61,2.93,12.69
1088336.5994,36.78,33.69,3.08,13.20
1088336.6311,38.49,35.83,3.21,13.73
1088336.6631,40.26,38.03,3.39,14.26
1088336.6952,41.92,40.05,3.54,14.71
1088336.7269,43.64,42.12,3.69,15.16
1088336.7587,45.23,44.00,3.81,15.54
1088336.7907,46.84,45.91,4.01,15.88
1088336.8225,48.32,47.64,4.23,16.14
1088336.8547,49.84,49.42,4.58,16.35
1088336.8867,51.25,51.09,4.94,16.51
1088336.9184,52.74,52.87,5.39,16.63
1088336.9509,54.26,54.74,5.95,16.70
1088336.9948,55.86,56.70,6.59,16.73
1088337.0151,57.40,58.57,7.22,16.73
1088337.0391,58.89,60.35,7.85,16.69
1088337.0801,60.49,62.24,8.55,16.61
1088337.1124,62.23,64.25,9.30,16.47
1088337.1441,64.06,66.32,10.10,16.30
1088337.1686,65.83,68.25,10.89,16.11
1088337.2078,67.54,70.06,11.66,15.93
1088337.2337,69.31,71.92,12.51,15.69
1088337.2603,71.03,73.66,13.35,15.45
1088337.2923,72.82,75.44,14.26,15.14
1088337.3247,74.67,77.22,15.20,14.75
1088337.3568,76.38,78.84,16.12,14.37
1088337.3888,78.10,80.42,17.07,13.92
1088337.4209,79.83,81.96,17.99,13.49
1088337.4534,81.41,83.32,18.79,13.13
1088337.4852,82.99,84.62,19.48,12.82
1088337.5173,84.44,85.79,20.09,12.58
1088337.5474,85.75,86.81,20.61,12.41
