timestamp_s,flexion,abduction,ext_rot,elbow
10041.8038,-4.63,9.61,-2.38,3.97
10041.8195,-4.62,9.58,-2.37,3.97
10041.8555,-4.61,9.55,-2.36,3.97
10041.8900,-4.61,9.53,-2.35,3.96
10041.9158,-4.60,9.50,-2.34,3.96
10041.9536,-4.60,9.47,-2.32,3.96
10041.9753,-4.59,9.45,-2.30,3.95
10042.0050,-4.59,9.43,-2.29,3.95
10042.0454,-4.59,9.41,-2.28,3.94
10042.0782,-4.58,9.39,-2.28,3.93
10042.1016,-4.58,9.37,-2.27,3.92
10042.1438,-4.58,9.35,-2.26,3.92
10042.1670,-4.57,9.33,-2.25,3.91
10042.1965,-4.57,9.32,-2.25,3.90
10042.2256,-4.57,9.31,-2.24,3.89
10042.2610,-4.58,9.31,-2.24,3.89
10042.2936,-4.58,9.30,-2.24,3.88
10042.3246,-4.58,9.30,-2.24,3.88
10042.3586,-4.58,9.30,-2.23,3.88
10042.3915,-4.59,9.30,-2.22,3.88
10042.4250,-4.60,9.31,-2.22,3.88
10042.4587,-4.60,9.31,-2.22,3.88
10042.4909,-4.61,9.31,-2.22,3.88
10042.5241,-4.62,9.31,-2.22,3.88
10042.5584,-4.64,9.30,-2.22,3.88
10042.5916,-4.66,9.30,-2.23,3.88
10042.6251,-4.67,9.30,-2.23,3.88
10042.6503,-4.69,9.30,-2.23,3.88
10042.6904,-4.72,9.31,-2.24,3.88
10042.7235,-4.74,9.32,-2.24,3.89
10042.7548,-4.76,9.33,-2.25,3.89
10042.7863,-4.79,9.35,-2.26,3.89
10042.8195,-4.82,9.37,-2.27,3.89
10042.8587,-4.85,9.40,-2.28,3.90
10042.8909,-4.89,9.43,-2.29,3.91
10042.9239,-4.93,9.47,-2.30,3.92
10042.9562,-4.96,9.50,-2.32,3.93
10042.9899,-5.00,9.54,-2.33,3.94
10043.0215,-5.03,9.57,-2.34,3.95
10043.0547,-5.07,9.61,-2.34,3.96
10043.0860,-5.11,9.64,-2.34,3.97
10043.1257,-5.15,9.67,-2.35,3.99
10043.1512,-5.19,9.70,-2.35,4.00
