timestamp_s,flexion,abduction,ext_rot,elbow
9777.2776,-0.27,-0.03,-0.23,0.03
9777.4288,-0.27,-0.03,-0.23,0.03
9777.4755,-0.27,-0.03,-0.23,0.03
9777.5063,-0.26,-0.03,-0.23,0.03
9777.5384,-0.26,-0.03,-0.23,0.03
9777.5700,-0.26,-0.03,-0.23,0.03
9777.6026,-0.26,-0.03,-0.23,0.03
9777.6339,-0.26,-0.03,-0.23,0.03
9777.6654,-0.26,-0.03,-0.23,0.03
9777.7007,-0.25,-0.03,-0.22,0.04
9777.7325,-0.25,-0.03,-0.22,0.04
9777.7635,-0.25,-0.02,-0.21,0.04
9777.7957,-0.24,-0.02,-0.21,0.04
9777.8256,-0.24,-0.02,-0.21,0.04
9777.8490,-0.24,-0.01,-0.21,0.04
9777.8914,-0.23,-0.01,-0.20,0.04
9777.9262,-0.23,-0.01,-0.20,0.04
9777.9579,-0.23,-0.01,-0.20,0.04
9777.9790,-0.22,-0.01,-0.20,0.04
9778.0082,-0.22,-0.00,-0.20,0.04
9778.0387,-0.22,-0.00,-0.20,0.05
9778.0755,-0.22,-0.00,-0.20,0.05
9778.1027,-0.22,0.00,-0.19,0.05
9778.1425,-0.21,0.01,-0.19,0.06
9778.1738,-0.21,0.01,-0.19,0.06
9778.2049,-0.21,0.01,-0.19,0.06
9778.2363,-0.20,0.01,-0.19,0.06
9778.2685,-0.20,0.01,-0.19,0.06
9778.2871,-0.19,0.01,-0.20,0.06
9778.3235,-0.19,0.01,-0.20,0.06
9778.3552,-0.20,0.01,-0.20,0.06
9778.3863,-0.20,0.01,-0.19,0.06
9778.4259,-0.19,0.01,-0.19,0.06
9778.4578,-0.18,0.01,-0.19,0.06
9778.4742,-0.18,0.02,-0.18,0.06
9778.5061,-0.18,0.02,-0.18,0.06
9778.5380,-0.17,0.02,-0.18,0.05
9778.5769,-0.17,0.02,-0.18,0.05
9778.6082,-0.17,0.02,-0.17,0.06
9778.6396,-0.18,0.02,-0.16,0.06
9778.6675,-0.18,0.02,-0.16,0.06
9778.7078,-0.18,0.02,-0.15,0.05
9778.7398,-0.18,0.02,-0.15,0.05
9778.7729,-0.20,0.02,-0.14,0.04
9778.8048,-0.20,0.02,-0.13,0.05
9778.8371,-0.20,0.02,-0.13,0.05
9778.8747,-0.20,0.02,-0.12,0.04
9778.9067,-0.20,0.02,-0.11,0.04
9778.9424,-0.19,0.02,-0.11,0.04
9778.9748,-0.19,0.02,-0.10,0.04
9779.0072,-0.19,0.02,-0.10,0.04
9779.0386,-0.19,0.02,-0.09,0.05
9779.0735,-0.19,0.02,-0.08,0.05
9779.1051,-0.18,0.02,-0.07,0.05
9779.1364,-0.18,0.02,-0.06,0.05
9779.1681,-0.18,0.02,-0.05,0.05
9779.2062,-0.18,0.02,-0.05,0.05
9779.2382,-0.18,0.02,-0.04,0.05
9779.2696,-0.18,0.02,-0.04,0.05
9779.3015,-0.18,0.02,-0.04,0.05
9779.3180,-0.17,0.02,-0.04,0.05
9779.3567,-0.17,0.02,-0.03,0.04
9779.3961,-0.17,0.02,-0.03,0.04
9779.4278,-0.17,0.02,-0.03,0.04
9779.4592,-0.16,0.02,-0.03,0.04
9779.4913,-0.16,0.02,-0.03,0.04
9779.5225,-0.16,0.02,-0.03,0.03
9779.5552,-0.15,0.01,-0.03,0.03
9779.5954,-0.15,0.01,-0.03,0.03
9779.6375,-0.14,0.01,-0.03,0.03
9779.6699,-0.14,0.01,-0.03,0.03
9779.7014,-0.14,0.01,-0.03,0.03
9779.7340,-0.13,0.01,-0.03,0.03
9779.7655,-0.13,0.01,-0.03,0.03
9779.7967,-0.12,0.01,-0.03,0.03
9779.8283,-0.12,0.01,-0.03,0.03
9779.8619,-0.11,0.02,-0.03,0.03
9779.8949,-0.11,0.02,-0.03,0.03
9779.9280,-0.10,0.02,-0.03,0.03
9779.9593,-0.10,0.02,-0.03,0.11
9779.9912,-0.03,0.34,-0.06,0.16
9780.0225,0.03,0.62,-0.08,0.39
9780.0581,0.08,0.85,-0.10,0.57
9780.0947,0.09,1.03,-0.11,0.05
9780.1270,0.11,1.17,-0.12,0.59
9780.1481,0.12,1.30,-0.13,1.10
9780.1898,0.08,2.67,-0.23,1.36
9780.2127,-0.02,3.84,-0.32,1.65
9780.2448,-0.11,4.84,-0.40,1.98
9780.2854,-0.34,7.26,-0.37,1.17
9780.3165,-0.54,9.33,-0.36,1.44
9780.3484,-0.73,11.09,-0.34,1.74
9780.3701,-0.89,12.58,-0.33,2.08
9780.4019,-1.56,16.55,0.03,2.36
9780.4414,-2.17,19.92,0.33,3.12
9780.4722,-2.72,22.77,0.59,3.74
9780.5104,-3.22,25.20,0.82,4.19
9780.5425,-3.92,28.53,1.20,5.03
9780.5775,-4.56,31.37,1.54,5.66
9780.6091,-5.14,33.78,1.84,6.14
9780.6410,-5.82,36.82,1.97,7.14
9780.6770,-6.45,39.40,2.08,7.51
9780.7093,-6.99,41.59,2.20,7.75
9780.7413,-7.48,43.45,2.30,7.89
9780.7726,-8.37,46.02,2.43,8.74
9780.8038,-9.21,48.21,2.54,8.96
9780.8434,-9.94,50.07,2.66,9.08
9780.8756,-10.61,51.65,2.76,9.14
9780.9166,-11.60,53.81,2.87,9.44
9780.9471,-12.54,55.66,2.97,9.65
9780.9838,-13.41,57.23,3.05,9.78
9781.0223,-14.37,58.99,3.10,9.97
9781.0598,-15.26,60.49,3.14,10.10
9781.0921,-16.07,61.77,3.18,10.18
9781.1221,-16.95,63.10,3.14,10.33
9781.1534,-17.76,64.23,3.12,10.39
9781.1857,-18.43,65.17,3.12,10.41
9781.2168,-19.03,65.98,3.13,10.42
9781.2485,-19.63,66.86,3.10,10.45
9781.2827,-20.16,67.60,3.08,10.47
9781.3160,-20.70,68.25,3.04,10.48
9781.3478,-21.17,68.80,3.00,10.49
9781.3691,-21.54,69.36,2.92,10.47
9781.4012,-21.86,69.83,2.85,10.45
9781.4326,-22.15,70.24,2.78,10.43
9781.4644,-22.41,70.58,2.72,10.42
9781.4921,-22.75,70.94,2.69,10.45
9781.5261,-23.05,71.25,2.66,10.47
9781.5568,-23.34,71.51,2.62,10.49
9781.5890,-23.59,71.74,2.58,10.51
9781.6161,-23.79,71.91,2.56,10.53
9781.6561,-23.95,72.06,2.54,10.54
9781.6894,-24.08,72.18,2.53,10.56
9781.7128,-24.20,72.29,2.52,10.57
9781.7461,-24.32,72.36,2.49,10.59
9781.7780,-24.41,72.42,2.47,10.60
9781.8137,-24.49,72.47,2.45,10.62
9781.8350,-24.56,72.51,2.43,10.63
9781.8776,-24.66,72.55,2.45,10.64
9781.9093,-24.78,72.59,2.45,10.65
9781.9441,-24.88,72.62,2.45,10.65
9781.9764,-24.99,72.64,2.47,10.67
9782.0082,-25.13,72.66,2.46,10.69
9782.0424,-25.25,72.67,2.46,10.71
9782.0735,-25.35,72.68,2.45,10.72
9782.1060,-25.34,72.72,2.49,10.72
9782.1366,-25.43,72.76,2.47,10.72
9782.1756,-25.51,72.79,2.46,10.72
9782.2085,-25.54,72.82,2.48,10.72
9782.2421,-25.58,72.85,2.49,10.71
9782.2783,-25.61,72.88,2.51,10.71
9782.3085,-25.64,72.90,2.52,10.71
9782.3407,-25.67,72.91,2.51,10.72
9782.3723,-25.68,72.91,2.52,10.72
9782.4040,-25.69,72.91,2.52,10.73
9782.4378,-25.73,72.94,2.53,10.72
9782.4717,-25.75,72.97,2.53,10.72
9782.4965,-25.79,72.99,2.52,10.73
9782.5252,-25.83,73.01,2.51,10.73
9782.5565,-25.85,73.02,2.51,10.74
9782.5980,-25.84,73.02,2.50,10.74
9782.6324,-25.84,73.03,2.50,10.74
9782.6629,-25.84,73.03,2.51,10.74
9782.6945,-25.68,73.03,2.45,10.69
9782.7265,-25.56,73.02,2.43,10.70
9782.7586,-25.45,73.01,2.42,10.72
9782.7904,-25.35,73.00,2.40,10.73
9782.8225,-24.93,73.10,2.30,10.57
9782.8538,-24.61,73.19,2.19,10.57
9782.8920,-24.34,73.27,2.09,10.57
9782.9238,-23.51,73.37,1.85,10.37
9782.9556,-22.79,73.46,1.65,10.35
9782.9870,-22.17,73.54,1.48,10.34
9783.0115,-21.64,73.60,1.34,10.35
9783.0416,-20.64,73.68,1.02,10.19
9783.0743,-19.76,73.75,0.74,10.17
9783.1055,-19.00,73.81,0.52,10.17
9783.1401,-18.34,73.86,0.34,10.19
9783.1724,-17.36,73.93,0.02,10.08
9783.2041,-16.51,73.99,-0.25,10.09
9783.2361,-15.73,74.04,-0.46,10.11
9783.2680,-15.07,74.08,-0.64,10.13
9783.2918,-14.02,74.13,-0.94,10.03
9783.3238,-13.12,74.17,-1.19,9.95
9783.3559,-12.33,74.21,-1.41,9.89
9783.3863,-11.66,74.24,-1.59,9.95
9783.4258,-10.40,74.30,-1.92,9.82
9783.4578,-9.31,74.35,-2.21,9.73
9783.4894,-8.37,74.39,-2.45,9.79
9783.5261,-7.11,74.48,-2.78,9.72
9783.5579,-6.02,74.55,-3.07,9.68
9783.5928,-5.04,74.62,-3.28,9.66
9783.6168,-4.21,74.67,-3.47,9.75
9783.6558,-3.24,74.74,-3.73,9.78
9783.6881,-2.37,74.80,-3.93,9.82
9783.7078,-1.62,74.85,-4.10,9.86
9783.7474,-0.99,74.89,-4.24,9.94
9783.7859,-0.38,74.95,-4.40,10.00
9783.8168,0.15,74.99,-4.53,10.06
9783.8510,0.60,75.03,-4.64,10.11
9783.8826,0.94,75.06,-4.74,10.18
