timestamp_s,flexion,abduction,ext_rot,elbow
632.4365,0.00,0.08,0.04,0.02
632.4647,0.00,0.08,0.04,0.02
632.4837,0.00,0.08,0.03,0.02
632.5082,0.00,0.08,0.03,0.02
632.5433,0.00,0.08,0.03,0.02
632.5729,0.00,0.08,0.04,0.02
632.6045,0.00,0.08,0.04,0.02
632.6364,0.00,0.08,0.04,0.02
632.6642,0.00,0.08,0.04,0.02
632.7001,0.00,0.07,0.04,0.02
632.7321,0.00,0.07,0.04,0.02
632.7638,0.00,0.07,0.04,0.03
632.7961,0.00,0.07,0.03,0.03
632.8280,0.00,0.07,0.03,0.03
632.8606,0.00,0.08,0.03,0.04
632.8816,0.00,0.08,0.03,0.04
632.9140,0.00,0.08,0.03,0.04
632.9557,0.00,0.08,0.03,0.04
632.9737,0.00,0.07,0.02,0.04
633.0057,0.00,0.07,0.01,0.04
633.0378,0.00,0.07,0.01,0.04
633.0750,0.00,0.07,0.00,0.03
633.1073,0.00,0.08,-0.00,0.04
633.1390,0.00,0.08,-0.01,0.04
633.1706,0.00,0.08,-0.01,0.04
633.1951,0.00,0.08,-0.01,0.04
633.2263,0.00,0.08,-0.02,0.04
633.2573,0.00,0.08,-0.02,0.05
633.2890,0.00,0.09,-0.02,0.05
633.3203,0.00,0.09,-0.02,0.05
633.3527,0.00,0.10,-0.03,0.05
633.3929,0.00,0.10,-0.03,0.06
633.4247,0.00,0.10,-0.03,0.06
633.4571,0.00,0.11,-0.03,0.06
633.4761,0.00,0.11,-0.03,0.06
633.5050,0.00,0.11,-0.02,0.06
633.5370,0.00,0.11,-0.02,0.06
633.5693,0.00,0.11,-0.02,0.06
633.6095,0.00,0.12,-0.02,0.06
633.6416,0.00,0.12,-0.02,0.06
633.6736,0.00,0.12,-0.02,0.06
633.7052,0.00,0.12,-0.02,0.06
633.7373,0.00,0.12,-0.02,0.06
633.7618,0.00,0.12,-0.02,0.06
633.7927,0.00,0.12,-0.02,0.07
633.8200,0.00,0.12,-0.02,0.07
633.8519,0.00,0.12,-0.02,0.07
633.8843,0.00,0.12,-0.03,0.07
633.9162,0.00,0.12,-0.03,0.06
633.9482,0.00,0.12,-0.03,0.06
633.9804,0.00,0.12,-0.03,0.06
634.0124,0.00,0.11,-0.03,0.06
634.0440,0.00,0.11,-0.03,0.06
634.0756,0.00,0.11,-0.03,0.06
634.1074,0.00,0.10,-0.03,0.05
634.1392,0.00,0.10,-0.03,0.05
634.1714,0.00,0.09,-0.03,0.05
634.2031,0.00,0.09,-0.03,0.05
634.2354,0.00,0.09,-0.03,0.04
634.2674,0.00,0.08,-0.03,0.04
634.2999,0.00,0.08,-0.03,0.04
634.3317,0.00,0.08,-0.03,0.04
634.3640,0.00,0.07,-0.03,0.04
634.3957,0.00,0.07,-0.03,0.04
634.4281,0.00,0.07,-0.03,0.03
634.4597,0.00,0.07,-0.02,0.03
634.4914,0.00,0.07,-0.03,0.03
634.5235,0.00,0.07,-0.03,0.03
634.5551,0.00,0.07,-0.03,0.03
634.5873,0.00,0.07,-0.03,0.03
634.6195,0.00,0.07,-0.03,0.03
634.6515,0.00,0.07,-0.03,0.03
634.6839,0.00,0.07,-0.03,0.03
634.7160,0.00,0.07,-0.03,0.03
634.7474,0.00,0.07,-0.03,0.03
634.7797,0.00,0.06,-0.03,0.02
634.8122,0.00,0.06,-0.03,0.02
634.8432,0.00,0.06,-0.03,0.02
634.8757,0.00,0.05,-0.03,0.02
634.9073,0.00,0.05,-0.03,0.02
634.9400,0.00,0.04,-0.02,0.03
634.9720,0.00,0.04,-0.00,0.01
635.0044,0.00,0.04,0.02,0.02
635.0358,0.00,0.05,0.03,0.04
635.0677,0.00,0.08,0.04,0.03
635.1005,0.00,0.09,0.05,0.02
635.1330,0.00,0.09,0.06,0.02
635.1653,0.00,0.10,0.07,0.01
635.1974,0.00,0.10,0.07,0.04
635.2295,0.00,0.11,0.08,0.06
635.2620,0.00,0.08,0.09,0.05
635.2944,0.00,0.06,0.09,0.04
635.3266,0.00,0.05,0.09,0.04
635.3586,0.00,0.03,0.10,0.05
635.3907,0.00,0.03,0.11,0.04
635.4236,0.00,0.04,0.12,0.03
635.4552,0.00,0.07,0.12,0.03
635.4873,0.00,0.02,0.10,0.08
635.5194,0.00,0.02,0.08,0.13
635.5512,0.00,0.05,0.07,0.17
635.5838,0.00,0.06,0.07,0.21
635.6159,0.00,0.51,-0.06,0.68
635.6478,0.00,0.90,-0.17,0.56
635.6795,0.00,1.22,-0.27,0.43
635.7130,0.00,1.48,-0.26,0.31
635.7430,0.00,3.59,-0.57,2.06
635.7752,0.00,5.38,-0.83,1.72
635.8069,0.00,6.91,-1.06,1.33
635.8386,0.00,8.23,-1.13,0.91
635.8711,0.00,12.32,-1.99,3.49
635.9038,0.00,15.81,-2.72,3.48
635.9355,0.00,18.80,-3.34,3.34
635.9676,0.00,24.39,-4.63,6.06
635.9996,0.00,29.15,-5.75,6.65
636.0317,0.00,33.19,-6.72,7.00
636.0644,0.00,36.59,-7.63,7.16
636.0967,0.00,39.48,-8.42,7.18
636.1291,0.00,41.93,-9.10,6.79
636.1613,0.00,44.98,-10.23,7.33
636.1930,0.00,47.59,-11.21,7.70
636.2254,0.00,49.81,-12.05,7.93
636.2575,0.00,51.69,-12.77,7.95
636.2895,0.00,53.84,-13.70,8.28
636.3220,0.00,55.67,-14.54,8.50
636.3532,0.00,57.23,-15.27,8.64
636.3855,0.00,59.35,-16.23,9.09
636.4181,0.00,61.15,-17.07,9.41
636.4504,0.00,62.67,-17.79,9.64
636.4815,0.00,63.97,-18.41,9.43
636.5136,0.00,65.89,-19.22,9.81
636.5453,0.00,67.52,-19.94,10.09
636.5777,0.00,68.90,-20.57,10.29
636.6093,0.00,70.08,-21.11,10.31
636.6412,0.00,71.31,-21.57,10.41
636.6733,0.00,72.36,-21.99,10.47
636.7052,0.00,73.25,-22.36,10.50
636.7374,0.00,74.00,-22.68,10.53
636.7629,0.00,74.63,-22.94,10.52
636.7929,0.00,75.18,-23.16,10.50
636.8257,0.00,75.65,-23.35,10.48
636.8576,0.00,76.05,-23.52,10.46
636.8895,0.00,76.37,-23.67,10.44
636.9213,0.00,76.65,-23.81,10.42
636.9537,0.00,76.88,-23.92,10.41
636.9861,0.00,77.10,-23.99,10.37
637.0185,0.00,77.26,-24.08,10.36
637.0509,0.00,77.40,-24.16,10.35
637.0830,0.00,77.52,-24.23,10.34
637.1154,0.00,77.64,-24.27,10.28
637.1479,0.00,77.76,-24.31,10.27
637.1768,0.00,77.85,-24.35,10.27
637.2210,0.00,77.94,-24.38,10.27
637.2436,0.00,77.98,-24.50,10.28
