timestamp_s,flexion,abduction,ext_rot,elbow
7132.0678,0.06,0.01,-0.13,0.12
7132.0943,0.06,0.01,-0.13,0.12
7132.1128,0.06,0.01,-0.13,0.12
7132.1435,0.06,0.01,-0.13,0.12
7132.1763,0.06,0.01,-0.13,0.12
7132.1957,0.06,0.01,-0.13,0.12
7132.2249,0.06,0.01,-0.13,0.12
7132.2564,0.06,0.01,-0.13,0.12
7132.2882,0.06,0.00,-0.13,0.12
7132.3198,0.06,0.00,-0.13,0.11
7132.3532,0.05,0.00,-0.13,0.11
7132.3817,0.05,0.00,-0.13,0.11
7132.4154,0.05,0.00,-0.13,0.11
7132.4473,0.05,0.00,-0.13,0.12
7132.4791,0.05,0.00,-0.13,0.12
7132.5108,0.05,0.00,-0.14,0.12
7132.5429,0.05,0.00,-0.14,0.12
7132.5747,0.05,0.00,-0.15,0.12
7132.6030,0.05,0.00,-0.15,0.11
7132.6320,0.04,0.00,-0.16,0.11
7132.6646,0.03,0.01,-0.17,0.11
7132.6986,0.03,0.01,-0.17,0.11
7132.7265,0.02,0.01,-0.18,0.10
7132.7550,0.01,0.01,-0.18,0.10
7132.7954,0.01,0.01,-0.18,0.09
7132.8270,-0.00,0.02,-0.19,0.09
7132.8590,-0.01,0.02,-0.19,0.09
7132.8910,-0.01,0.02,-0.20,0.08
7132.9230,-0.02,0.02,-0.20,0.08
7132.9550,-0.02,0.02,-0.20,0.08
7132.9789,-0.03,0.02,-0.20,0.08
7133.0107,-0.03,0.02,-0.20,0.08
7133.0426,-0.03,0.02,-0.20,0.08
7133.0747,-0.04,0.02,-0.21,0.08
7133.1068,-0.04,0.02,-0.21,0.08
7133.1390,-0.04,0.02,-0.21,0.08
7133.1707,-0.04,0.02,-0.21,0.08
7133.1956,-0.04,0.02,-0.22,0.08
7133.2271,-0.05,0.02,-0.22,0.08
7133.2595,-0.05,0.02,-0.22,0.08
7133.2913,-0.05,0.02,-0.22,0.08
7133.3237,-0.05,0.02,-0.22,0.08
7133.3557,-0.05,0.02,-0.22,0.08
7133.3877,-0.04,0.02,-0.22,0.08
7133.4121,-0.04,0.02,-0.22,0.08
7133.4446,-0.04,0.01,-0.22,0.08
7133.4783,-0.04,0.02,-0.22,0.08
7133.5102,-0.04,0.02,-0.22,0.08
7133.5421,-0.03,0.02,-0.22,0.08
7133.5740,-0.03,0.02,-0.22,0.07
7133.6062,-0.03,0.02,-0.22,0.07
7133.6387,-0.03,0.02,-0.22,0.07
7133.6712,-0.03,0.02,-0.22,0.07
7133.7035,-0.02,0.01,-0.22,0.07
7133.7358,-0.02,0.01,-0.22,0.08
7133.7674,-0.02,0.01,-0.22,0.08
7133.7995,-0.01,0.01,-0.22,0.08
7133.8319,-0.01,0.01,-0.22,0.08
7133.8643,-0.00,0.01,-0.22,0.08
7133.8963,0.00,0.01,-0.22,0.08
7133.9284,0.01,0.01,-0.22,0.08
7133.9613,0.01,0.01,-0.22,0.08
7133.9935,0.01,0.01,-0.22,0.08
7134.0255,0.02,0.01,-0.22,0.09
7134.0583,0.02,0.01,-0.22,0.09
7134.0903,0.02,0.01,-0.22,0.09
7134.1223,0.02,0.01,-0.22,0.09
7134.1544,0.02,0.02,-0.22,0.09
7134.1864,0.02,0.02,-0.22,0.09
7134.2184,0.03,0.02,-0.21,0.09
7134.2505,0.03,0.01,-0.21,0.08
7134.2834,0.03,0.01,-0.21,0.09
7134.3156,-0.03,0.10,-0.20,0.09
