timestamp_s,flexion,abduction,ext_rot,elbow
8364.5689,0.03,-0.06,-0.08,0.02
8364.6006,0.03,-0.06,-0.08,0.02
8364.6244,0.03,-0.06,-0.08,0.02
8364.6498,0.03,-0.06,-0.08,0.02
8364.6862,0.03,-0.06,-0.09,0.02
8364.7191,0.03,-0.05,-0.09,0.03
8364.7509,0.03,-0.05,-0.09,0.03
8364.7840,0.03,-0.05,-0.09,0.03
8364.8145,0.03,-0.05,-0.09,0.03
8364.8460,0.03,-0.05,-0.09,0.03
8364.8731,0.03,-0.05,-0.09,0.03
8364.8975,0.03,-0.05,-0.09,0.03
8364.9307,0.03,-0.05,-0.09,0.03
8364.9580,0.04,-0.04,-0.09,0.03
8364.9893,0.04,-0.04,-0.09,0.03
8365.0219,0.04,-0.03,-0.09,0.03
8365.0528,0.04,-0.04,-0.08,0.03
8365.0848,0.04,-0.03,-0.07,0.03
8365.1164,0.04,-0.03,-0.06,0.02
8365.1484,0.04,-0.03,-0.06,0.02
8365.1857,0.04,-0.03,-0.06,0.02
8365.2176,0.04,-0.03,-0.05,0.02
8365.2498,0.03,-0.03,-0.05,0.02
8365.2816,0.03,-0.03,-0.05,0.01
8365.3220,0.03,-0.03,-0.04,0.01
8365.3396,0.03,-0.03,-0.04,0.01
8365.3683,0.02,-0.03,-0.04,0.01
8365.4006,0.02,-0.03,-0.03,0.01
8365.4329,0.02,-0.04,-0.03,0.01
8365.4652,0.01,-0.04,-0.03,0.01
8365.4969,0.01,-0.04,-0.03,0.01
8365.5295,0.01,-0.04,-0.03,0.01
8365.5538,0.00,-0.04,-0.03,0.01
8365.5857,0.00,-0.04,-0.03,0.01
8365.6177,-0.00,-0.04,-0.03,0.02
8365.6492,-0.00,-0.05,-0.03,0.01
8365.6811,-0.00,-0.05,-0.03,0.01
8365.7132,-0.00,-0.05,-0.03,0.01
8365.7449,-0.00,-0.05,-0.03,0.01
8365.7844,-0.01,-0.05,-0.03,0.01
8365.8161,-0.01,-0.06,-0.03,0.02
8365.8481,-0.01,-0.06,-0.04,0.02
8365.8797,-0.01,-0.06,-0.04,0.02
8365.9034,-0.01,-0.06,-0.04,0.02
8365.9276,-0.02,-0.06,-0.04,0.02
8365.9685,-0.02,-0.06,-0.04,0.02
8366.0000,-0.01,-0.06,-0.04,0.02
8366.0324,-0.01,-0.07,-0.04,0.02
8366.0639,-0.00,-0.07,-0.04,0.01
8366.0954,-0.01,-0.07,-0.03,0.01
8366.1271,-0.01,-0.07,-0.03,0.02
8366.1589,-0.01,-0.07,-0.03,0.02
8366.1847,-0.01,-0.07,-0.03,0.02
8366.2217,0.00,-0.07,-0.03,0.02
8366.2534,0.01,-0.08,-0.02,0.02
8366.2852,0.01,-0.08,-0.02,0.02
8366.3171,0.01,-0.08,-0.02,0.02
8366.3487,0.01,-0.08,-0.02,0.02
8366.3803,0.01,-0.08,-0.02,0.02
8366.4121,0.01,-0.08,-0.02,0.02
8366.4440,0.01,-0.07,-0.02,0.02
8366.4755,0.01,-0.07,-0.02,0.01
8366.5071,0.00,-0.07,-0.02,0.01
8366.5391,0.00,-0.07,-0.01,0.01
8366.5708,0.00,-0.07,-0.01,0.01
8366.6022,0.01,-0.06,-0.01,0.02
8366.6339,0.02,-0.06,-0.01,0.02
8366.6656,0.02,-0.06,-0.01,0.02
8366.6976,0.02,-0.06,-0.00,0.02
8366.7292,0.02,-0.06,-0.00,0.02
8366.7609,0.02,-0.06,-0.00,0.02
8366.7929,0.02,-0.06,-0.00,0.02
8366.8249,0.02,-0.06,-0.00,0.02
8366.8565,0.02,-0.07,-0.00,0.02
8366.8882,0.01,-0.07,0.00,0.02
8366.9199,0.01,-0.07,0.00,0.02
8366.9514,0.01,-0.07,0.00,0.02
8366.9828,0.01,-0.07,-0.00,0.02
8367.0148,0.02,-0.06,-0.00,0.02
8367.0466,0.02,-0.06,-0.00,0.06
8367.0781,0.07,-0.04,0.05,0.17
8367.1099,0.11,-0.02,0.10,0.35
8367.1417,0.14,-0.01,0.14,0.51
8367.1736,0.38,-0.04,0.16,0.60
8367.2053,0.28,-0.03,0.15,0.37
8367.2375,0.19,-0.02,0.13,0.16
8367.2696,0.11,-0.01,0.12,0.03
8367.3015,0.28,-0.12,0.08,0.02
8367.3335,0.26,-0.10,-0.02,0.17
8367.3654,0.24,-0.08,-0.11,0.31
8367.3972,0.23,-0.07,-0.18,0.23
8367.4289,0.27,-0.21,-0.23,0.33
8367.4611,0.02,0.46,-0.30,0.56
8367.4932,-0.18,1.03,-0.36,1.05
8367.5255,-0.36,1.51,-0.41,1.47
8367.5569,-0.81,3.66,-0.62,3.49
8367.5884,-1.18,5.50,-0.80,4.31
8367.6202,-1.50,7.05,-0.95,4.95
8367.6519,-1.77,8.38,-1.08,5.45
8367.6837,-1.91,11.83,-1.79,8.10
8367.7153,-2.01,14.77,-2.40,8.87
8367.7472,-2.07,17.27,-2.92,9.41
8367.7790,-2.09,19.40,-3.37,9.78
8367.8106,-1.89,23.22,-4.24,12.00
8367.8425,-1.66,26.47,-4.99,11.73
8367.8748,-1.43,29.22,-5.63,11.34
8367.9065,-1.24,31.56,-6.20,10.84
8367.9377,-0.73,35.25,-6.86,10.71
8367.9694,-0.23,38.38,-7.43,10.41
8368.0014,0.26,41.03,-7.92,9.98
8368.0338,0.64,44.50,-8.17,10.67
8368.0648,1.02,47.45,-8.38,10.50
8368.0964,1.38,49.96,-8.56,10.19
8368.1279,1.72,52.09,-8.72,9.79
8368.1595,1.93,54.78,-8.78,10.22
8368.1916,2.13,57.07,-8.83,9.90
8368.2234,2.33,59.02,-8.88,9.49
8368.2554,2.51,60.67,-8.92,9.03
8368.2869,2.80,62.54,-8.89,8.99
8368.3186,2.86,64.09,-8.93,8.61
8368.3501,2.93,65.41,-8.98,8.18
8368.3820,3.01,66.54,-9.02,7.73
8368.4137,2.95,67.48,-9.08,7.27
8368.4454,3.02,68.25,-9.13,6.80
8368.4771,3.07,68.90,-9.16,6.34
8368.5089,3.13,69.46,-9.19,5.89
8368.5407,3.30,69.92,-9.28,5.44
8368.5720,3.46,70.31,-9.32,5.02
8368.6042,3.60,70.64,-9.36,4.61
8368.6357,3.59,70.97,-9.34,4.28
8368.6678,3.59,71.25,-9.33,3.97
8368.6994,3.60,71.49,-9.33,3.68
8368.7315,3.62,71.68,-9.34,3.35
8368.7624,3.46,71.90,-9.29,3.10
8368.7945,3.32,72.08,-9.26,2.87
8368.8270,3.20,72.24,-9.23,2.66
8368.8585,3.10,72.37,-9.20,2.45
8368.8904,3.01,72.51,-9.17,2.28
8368.9222,2.90,72.62,-9.15,2.12
8368.9540,2.80,72.71,-9.14,1.96
8368.9855,2.72,72.79,-9.12,1.82
8369.0176,2.62,72.90,-9.11,1.73
8369.0494,2.53,72.99,-9.09,1.64
8369.0817,2.44,73.07,-9.07,1.50
8369.1133,2.25,73.24,-9.02,1.49
8369.1456,2.08,73.38,-8.97,1.47
8369.1867,1.87,73.49,-8.96,1.45
8369.2192,1.68,73.59,-8.95,1.37
8369.2508,1.47,73.79,-8.93,1.39
8369.2800,1.30,73.95,-8.89,1.40
8369.3145,1.16,74.09,-8.87,1.33
8369.3463,1.04,74.21,-8.84,1.26
8369.3779,0.82,74.48,-8.82,1.32
8369.4021,0.59,74.70,-8.83,1.36
8369.4342,0.39,74.89,-8.83,1.35
8369.4658,0.22,75.06,-8.83,1.33
8369.4979,-0.01,75.27,-8.81,1.36
8369.5304,-0.20,75.44,-8.80,1.39
8369.5609,-0.38,75.59,-8.78,1.38
8369.5850,-0.52,75.72,-8.77,1.37
8369.6169,-0.66,75.87,-8.78,1.38
8369.6484,-0.78,76.00,-8.78,1.38
8369.6791,-0.88,76.11,-8.78,1.36
8369.7193,-1.05,76.27,-8.79,1.38
8369.7438,-1.21,76.41,-8.80,1.40
8369.7838,-1.31,76.53,-8.80,1.41
8369.8155,-1.40,76.63,-8.80,1.40
8369.8473,-1.39,76.78,-8.81,1.39
8369.8797,-1.46,76.91,-8.83,1.37
8369.8954,-1.51,77.02,-8.85,1.36
8369.9266,-1.56,77.11,-8.87,1.36
8369.9589,-1.58,77.27,-8.90,1.37
8369.9913,-1.59,77.40,-8.94,1.37
8370.0241,-1.58,77.51,-8.95,1.38
8370.0563,-1.56,77.59,-8.96,1.36
8370.0885,-1.55,77.66,-8.96,1.34
8370.1210,-1.57,77.72,-8.98,1.32
8370.1527,-1.64,77.80,-8.99,1.33
8370.1848,-1.70,77.87,-8.99,1.33
8370.2163,-1.75,77.93,-8.99,1.33
8370.2476,-1.84,77.98,-9.00,1.33
8370.2793,-1.92,78.09,-8.99,1.33
8370.3108,-1.99,78.18,-8.99,1.33
8370.3350,-2.05,78.25,-8.99,1.33
8370.3665,-2.14,78.30,-9.02,1.33
8370.3981,-2.33,78.39,-9.00,1.33
8370.4299,-2.49,78.46,-8.98,1.34
8370.4615,-2.63,78.53,-8.97,1.34
8370.5009,-2.77,78.62,-8.96,1.35
8370.5346,-2.89,78.69,-8.96,1.35
8370.5653,-2.99,78.75,-8.96,1.36
8370.5973,-3.05,78.80,-8.94,1.36
8370.6289,-3.16,78.91,-8.93,1.37
8370.6695,-3.27,79.01,-8.92,1.37
8370.7020,-3.36,79.10,-8.91,1.37
8370.7339,-3.49,79.18,-8.91,1.36
8370.7610,-3.60,79.26,-8.91,1.36
8370.7948,-3.70,79.32,-8.90,1.36
8370.8268,-3.78,79.38,-8.90,1.35
8370.8588,-3.81,79.45,-8.91,1.35
8370.8910,-3.85,79.51,-8.92,1.35
8370.9226,-3.87,79.57,-8.93,1.35
8370.9543,-3.90,79.61,-8.94,1.34
8370.9868,-3.99,79.70,-8.95,1.35
8371.0180,-4.07,79.79,-8.95,1.35
8371.0502,-4.13,79.86,-8.95,1.34
8371.0814,-4.19,79.92,-8.95,1.34
8371.1131,-4.30,80.00,-8.94,1.35
8371.1449,-4.40,80.07,-8.94,1.35
8371.1698,-4.48,80.13,-8.93,1.35
8371.2013,-4.55,80.18,-8.91,1.34
8371.2332,-4.57,80.24,-8.92,1.34
8371.2646,-4.59,80.29,-8.92,1.33
8371.2962,-4.61,80.33,-8.92,1.33
8371.3286,-4.65,80.36,-8.94,1.33
8371.3540,-4.65,80.40,-8.94,1.32
8371.3859,-4.65,80.43,-8.95,1.31
8371.4182,-4.65,80.45,-8.95,1.31
8371.4498,-4.64,80.47,-8.95,1.31
8371.4821,-4.64,80.50,-8.96,1.31
8371.5136,-4.63,80.52,-8.96,1.30
8371.5459,-4.62,80.54,-8.97,1.30
8371.5705,-4.62,80.56,-8.98,1.30
8371.6018,-4.70,80.61,-8.98,1.30
8371.6338,-4.76,80.66,-8.98,1.30
8371.6698,-4.82,80.70,-8.99,1.30
8371.7018,-4.84,80.73,-9.00,1.30
8371.7277,-4.85,80.76,-9.01,1.30
8371.7693,-4.87,80.79,-9.02,1.30
8371.8012,-4.89,80.80,-9.03,1.30
8371.8197,-4.93,80.83,-9.03,1.30
8371.8496,-4.97,80.85,-9.04,1.30
8371.8817,-5.00,80.87,-9.04,1.30
8371.9136,-5.03,80.88,-9.04,1.30
8371.9459,-5.01,80.89,-9.05,1.29
8371.9780,-5.00,80.90,-9.06,1.29
8372.0101,-4.99,80.91,-9.07,1.29
8372.0431,-5.00,80.91,-9.08,1.29
8372.0742,-5.01,80.92,-9.08,1.31
8372.1067,-5.01,80.92,-9.09,1.32
8372.1389,-4.96,80.94,-9.10,1.32
8372.1699,-4.98,80.94,-9.12,1.32
8372.2012,-4.99,80.95,-9.14,1.32
8372.2332,-5.00,80.95,-9.15,1.33
8372.2658,-4.67,80.99,-9.18,1.30
8372.2978,-4.47,81.03,-9.23,1.28
8372.3298,-4.29,81.06,-9.28,1.27
8372.3619,-3.77,81.13,-9.35,1.19
8372.3856,-3.32,81.19,-9.41,1.17
8372.4176,-2.97,81.24,-9.46,1.16
8372.4494,-2.67,81.28,-9.50,1.15
8372.4814,-2.18,81.31,-9.59,1.11
8372.5131,-1.75,81.35,-9.66,1.14
8372.5374,-1.41,81.36,-9.70,1.17
8372.5686,-1.12,81.38,-9.73,1.20
8372.6007,0.03,81.40,-9.88,1.09
8372.6326,1.02,81.42,-10.00,1.11
8372.6647,1.82,81.43,-10.12,1.13
8372.7032,2.51,81.44,-10.23,1.15
8372.7349,3.80,81.44,-10.41,1.13
8372.7673,4.91,81.44,-10.56,1.12
8372.7952,5.85,81.44,-10.68,1.12
8372.8197,6.65,81.44,-10.78,1.13
8372.8514,7.61,81.45,-10.92,1.10
8372.8836,8.42,81.46,-11.03,1.11
8372.9158,9.11,81.47,-11.13,1.13
8372.9470,9.70,81.47,-11.21,1.15
8372.9797,10.43,81.49,-11.32,1.15
8373.0117,11.06,81.50,-11.40,1.16
8373.0437,11.59,81.52,-11.48,1.18
8373.0751,12.06,81.53,-11.54,1.19
8373.1074,12.45,81.53,-11.60,1.20
8373.1406,12.79,81.54,-11.64,1.22
8373.1722,13.07,81.55,-11.68,1.24
8373.2031,13.31,81.55,-11.72,1.26
8373.2349,13.51,81.55,-11.75,1.27
8373.2676,13.68,81.56,-11.77,1.29
8373.3001,13.83,81.56,-11.78,1.31
8373.3317,13.93,81.55,-11.80,1.33
8373.3635,14.04,81.55,-11.82,1.34
8373.3959,14.14,81.56,-11.83,1.36
8373.4361,14.19,81.56,-11.84,1.38
8373.4680,14.24,81.56,-11.85,1.39
8373.5002,14.27,81.55,-11.86,1.41
8373.5323,14.30,81.55,-11.86,1.42
8373.5643,14.32,81.55,-11.87,1.43
8373.5969,14.35,81.55,-11.88,1.44
8373.6292,14.36,81.55,-11.89,1.45
8373.6539,14.38,81.55,-11.89,1.45
8373.6857,14.40,81.55,-11.89,1.46
8373.7193,14.38,81.55,-11.90,1.47
8373.7514,14.36,81.55,-11.91,1.47
8373.7830,14.34,81.55,-11.91,1.48
8373.8098,14.33,81.54,-11.91,1.48
8373.8349,14.31,81.54,-11.92,1.49
8373.8672,14.29,81.54,-11.92,1.49
8373.8991,14.28,81.53,-11.92,1.49
8373.9311,14.26,81.53,-11.93,1.50
8373.9634,14.27,81.53,-11.92,1.50
8373.9954,14.28,81.52,-11.92,1.50
8374.0278,14.29,81.52,-11.92,1.51
8374.0602,14.20,81.51,-11.91,1.51
8374.0921,14.18,81.50,-11.91,1.51
8374.1242,14.17,81.49,-11.90,1.51
8374.1566,14.09,81.47,-11.89,1.52
8374.1894,14.03,81.45,-11.88,1.52
8374.2198,13.96,81.45,-11.87,1.53
