timestamp_s,flexion,abduction,ext_rot,elbow
8104.2333,-1.42,1.08,-0.66,0.86
8104.2603,-1.45,1.14,-0.59,0.85
8104.2773,-1.48,1.18,-0.52,0.85
8104.3105,-1.50,1.22,-0.46,0.84
8104.3468,-1.45,1.20,-0.46,0.90
8104.3756,-1.50,1.32,-0.42,0.95
8104.4023,-1.55,1.42,-0.39,0.99
8104.4344,-1.58,1.50,-0.36,1.01
8104.4663,-1.50,1.54,-0.32,1.09
8104.4981,-1.48,1.73,-0.21,1.16
8104.5299,-1.46,1.89,-0.13,1.22
8104.5617,-1.44,2.03,-0.05,1.27
8104.5937,-1.37,2.12,0.08,1.36
8104.6253,-1.34,2.25,0.18,1.44
8104.6574,-1.31,2.37,0.27,1.57
8104.6891,-1.28,2.47,0.34,1.68
8104.7211,-1.23,2.62,0.60,1.72
8104.7527,-1.20,2.68,0.73,1.76
8104.7848,-1.18,2.73,0.84,1.90
8104.8019,-1.16,2.77,0.93,2.03
8104.8413,-1.18,2.91,1.18,2.03
8104.8726,-1.00,2.89,1.39,2.04
8104.9046,-0.85,2.87,1.56,2.10
8104.9360,-0.72,2.86,1.71,2.17
8104.9696,-0.61,2.85,1.83,2.22
8105.0011,-0.49,2.90,2.04,2.21
8105.0333,-0.38,2.95,2.22,2.19
8105.0651,-0.29,2.99,2.37,2.18
8105.0968,-0.21,3.23,2.85,2.18
8105.1287,-0.15,3.43,3.25,2.18
8105.1548,-0.09,3.61,3.60,2.12
8105.1869,0.01,3.68,3.72,2.17
8105.2184,0.06,3.97,4.03,2.21
8105.2505,0.11,4.22,4.29,2.25
8105.2818,0.14,4.43,4.51,2.05
8105.3137,0.22,4.46,4.36,2.02
8105.3456,0.28,4.76,4.40,2.00
8105.3774,0.33,5.01,4.44,1.74
8105.4092,0.37,5.22,4.47,1.51
8105.4265,0.54,4.96,3.96,1.74
8105.4729,0.69,4.73,3.52,1.92
8105.5046,0.81,4.54,3.15,1.87
8105.5232,1.15,4.65,2.95,1.82
8105.5520,1.40,4.44,2.92,2.07
8105.5921,1.62,4.26,2.90,2.26
8105.6168,1.80,4.12,2.87,2.42
8105.6573,2.25,4.18,3.03,2.69
8105.6890,2.64,4.24,3.16,2.88
8105.7209,2.96,4.29,3.27,3.03
8105.7522,3.24,4.33,3.37,3.15
8105.7844,3.61,4.42,3.38,3.20
8105.8163,3.92,4.49,3.39,3.34
8105.8480,4.18,4.54,3.40,3.46
8105.8800,4.25,4.57,3.33,3.56
8105.9123,4.46,4.70,3.56,3.48
8105.9445,4.65,4.82,3.76,3.63
8105.9767,4.81,4.92,3.93,3.78
8106.0083,4.78,4.90,3.93,3.91
8106.0403,4.80,5.12,4.17,3.94
8106.0719,4.81,5.30,4.37,3.98
